Participant,trigger_no,fzd_hands0_state,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
32,25.0,1,-0.28230476,-0.05363892,-0.26330486,776.8800000000001,-246.61,25.518754064636134,4.360957699098515,776.8800000000001,-246.61,62.24024116364753,10.63637582810128
32,25.0,1,-0.24445842,-0.03835055,-0.24010921,804.02,-259.07,25.762775006396332,4.396470265484059,804.02,-259.07,62.83540824060066,10.722990977515622
32,25.0,1,-0.23648009,-0.03588723,-0.24091855,820.55,-271.35,25.970048455030927,4.4324120355099765,820.55,-271.35,63.34094818182043,10.81065295460883
32,25.0,1,-0.242024,-0.03173457,-0.24514621,544.56,257.73,26.106808386073375,4.465184682975867,544.56,257.73,63.67450565363296,10.89058544177814
32,25.0,1,-0.24209352,-0.03217698,-0.24575301,567.65,377.09000000000003,26.37228079783396,4.502022411410287,,,64.32199286591703,10.980432661429688
32,25.0,1,-0.24315168,-0.03186049,-0.2469238,591.69,377.90999999999997,26.665394978903766,4.543048095911754,,,65.03689835354629,11.080494305928763
32,25.0,1,-0.24039274,-0.03443491,-0.24461871,704.47,188.67999999999995,26.85468669950411,4.580855735786383,704.47,188.67999999999995,65.49858086009053,11.17270713958299
32,25.0,1,-0.23464759,-0.0429002,-0.24135023,939.81,-221.56,26.98308845789078,4.6152923502250385,939.81,-221.56,65.81175274879561,11.25669804219887
32,25.0,1,-0.23367573,-0.049326,-0.24378781,1006.77,-278.55,27.333547946961783,4.657897318927496,1006.77,-278.55,66.66652344263979,11.360611560864161
32,25.0,1,-0.24227305,-0.07040989,-0.25242049,855.9300000000001,-171.95999999999998,27.564338369360772,4.697139552283025,855.9300000000001,-171.95999999999998,67.22942128287093,11.456323368018296
32,25.0,1,-0.25993642,-0.1133897,-0.28093615,792.76,-195.79,27.82157824806149,4.736839896232631,792.76,-195.79,67.85682934702197,11.553152506911388
32,26.0,1,-0.3281686,-0.1633569,-0.29211575,515.09,-215.26,18.419882704954517,3.118685001592568,515.09,-215.26,44.926093917384065,7.606472718884273
32,26.0,1,-0.2933957,-0.15428714,-0.27570009,516.45,-216.51,18.603361017955105,3.138768598168875,516.45,-216.51,45.3735975227925,7.655456610933886
32,26.0,1,-0.25484404,-0.15613438,-0.26407632,546.52,-223.82,18.656235675597532,3.1590846172333755,546.52,-223.82,45.50255881278238,7.705007381432203
