Participant,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
32,-0.3245115,-0.33522233,-0.26151359,-51.60000000000002,-53.99000000000001,-12.97971085721851,1.7131000813765853,,,-31.657514780755946,4.1782510984774905
32,-0.22791184,-0.03237157,-0.23360361,774.6800000000001,-200.55,-4.422687861310613,1.3115128630836261,774.6800000000001,-200.55,-10.786935693736584,3.198779873060964
32,-0.22479668,-0.03138444,-0.2370062,-49.56,2.5,-4.563883244530974,1.3437673593935726,,,-11.131311233411045,3.277448589560924
32,-0.266247,-0.14938387,-0.24350344,356.99,-187.12,12.722239621908967,5.666276818315737,356.99,-187.12,31.02954243783597,13.820049159872081
32,-0.30638704,-0.12511368,-0.2358883,407.03,-200.66,14.694460920820296,5.338647545601632,407.03,-200.66,35.8397901858807,13.020961363722382
32,-0.32391298,-0.31723368,-0.23306268,-276.59,-263.01,-12.480879813061398,4.820956402475209,-276.59,-263.01,-30.44086586405675,11.758312665637035
32,-0.26337647,-0.33091474,-0.26351118,-349.72,-145.58,-15.434065465241051,4.557053528035107,-349.72,-145.58,-37.64368566972293,11.114653554877625
32,-0.33952925,-0.18016794,-0.22938569,158.90999999999997,-197.99,7.720481261196161,3.9910839592392597,,,18.830253796057438,9.734253776584556
32,-0.29924721,-0.2789239,-0.24487205,-132.8,-187.93,-7.852871898627783,3.1175020429765676,,,-19.153154560753165,7.603587482819849
32,-0.28129396,-0.15237959,-0.22267424,370.51,-244.73000000000002,13.019777062274853,4.597417216736262,370.51,-244.73000000000002,31.755236254888366,11.213100591619742
32,-0.29855183,-0.17706333,-0.22626069,266.78999999999996,-237.99,10.190801455487943,3.815958599749745,266.78999999999996,-237.99,24.85536474993509,9.307123024789629
32,-0.29113632,-0.17631376,-0.22895893,330.40999999999997,-289.02,12.129323505821272,6.612694966208416,330.40999999999997,-289.02,29.583420030698083,16.128363022582327
32,-0.29306948,-0.18386416,-0.23430052,243.38,-198.36,8.890597524072177,3.304935481495604,,,21.68416736121204,8.06073763936778
32,-0.21765733,-0.18230644,-0.24226987,394.34000000000003,-220.16,12.702980122507403,4.660985028548521,394.34000000000003,-220.16,30.982568518795556,11.368142484629843
32,-0.23951614,-0.18443932,-0.24557234,321.54999999999995,-268.53,10.918926715738525,5.043591764397304,321.54999999999995,-268.53,26.631262259686263,12.301320313365027
32,-0.21330272,-0.16840506,-0.24684754,429.48,-324.7,13.963870872136013,5.085672209992345,429.48,-324.7,34.05788105713974,12.40395452017133
32,-0.2449256,-0.33665985,-0.28654343,-365.53999999999996,-201.41,-17.10121012745562,4.8941584224065835,-365.53999999999996,-201.41,-41.709851500864254,11.936852392249659
32,-0.30800459,-0.30743605,-0.25925893,-292.51,-190.64,-14.399358117419794,4.55264841922125,-292.51,-190.64,-35.12003444838688,11.10390949448063
32,-0.27139232,-0.28151739,-0.25843507,-159.33999999999997,-183.94,-9.38542668685425,3.8801930506769735,,,-22.89105568923752,9.46379085060114
32,-0.27316093,-0.16901255,-0.24516591,355.14,-204.14,12.609475945270102,4.684947554492173,355.14,-204.14,30.754511830513778,11.42658708540641
32,-0.42185295,-0.10617713,-0.38341081,-45.50999999999999,-124.77000000000001,15.475159499097014,5.807667748681561,,,37.743914018297616,14.164901639034328
32,-0.27507588,-0.31882343,-0.26409307,-400.34,-118.96000000000001,-15.664354281022344,4.896489701100201,-400.34,-118.96000000000001,-38.205360091413496,11.94253838098339
32,-0.30907926,-0.31624585,-0.2480413,-283.86,-186.35,-12.228501068365976,4.1704250322982865,-283.86,-186.35,-29.825314105744614,10.171666653775523
32,-0.26204053,-0.13189726,-0.22772935,397.17999999999995,-295.91,14.197492282482479,5.36533532972851,397.17999999999995,-295.91,34.62768367697477,13.086052869207839
32,-0.3037523,-0.15260947,-0.23867849,351.94000000000005,-260.33,11.497992993980711,4.1780997343001385,351.94000000000005,-260.33,28.043604912318955,10.19038525195804
32,-0.2867628,-0.31942487,-0.26167858,-237.07,-141.25,-11.609018845255028,3.910151586165297,,,-28.314396963577014,9.536859718657158
32,-0.28148702,-0.3189877,-0.25093946,-436.28,-165.01999999999998,-14.361766393773696,4.70620557957914,-436.28,-165.01999999999998,-35.02834823441405,11.478435408593523
32,-0.27069068,-0.19727424,-0.23784861,204.20000000000005,-228.1,6.671248504496432,2.2190770958224078,,,16.271175102466795,5.412329036710854
32,-0.24980332,-0.18829307,-0.24226961,245.26,-205.92000000000002,8.061160541758849,2.602151505768638,,,19.66117056134983,6.346647522569709
32,-0.25162506,-0.28652143,-0.26538849,-162.39999999999998,-143.12,-8.549325944012438,2.8933022015802146,,,-20.851805977446336,7.056764069654143
32,-0.31474671,-0.26546144,-0.24892613,-129.22000000000003,-207.32999999999998,-6.271020413588235,2.0472381031482394,,,-15.295018788741706,4.993213733578557
