Participant,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
67,-0.41907558,-0.3718963,-0.48298427,-2.2200000000000273,-100.43,6.160320456429321,1.5755867927637937,,,12.320640912858641,3.1511735855275873
67,-0.24138209,0.07968084,-0.25005263,798.3199999999999,-72.00999999999999,-4.4454121007134,1.3698982951076657,798.3199999999999,-72.00999999999999,-8.8908242014268,2.7397965902153314
67,-0.38266945,-0.09116451,-0.22747299,284.6,-104.80000000000001,7.981235052750833,3.1534212389011893,284.6,-104.80000000000001,15.962470105501666,6.306842477802379
67,-0.36337811,-0.1013901,-0.20754975,232.54999999999995,-193.09,9.391292264203539,3.4280547639251515,,,18.782584528407078,6.856109527850303
67,-0.44135079,-0.35846844,-0.43749467,-419.95,415.47,-9.29602854632917,3.2114835868838534,,,-18.59205709265834,6.422967173767707
67,-0.42922592,-0.09704035,-0.2127905,197.16999999999996,-154.51999999999998,6.630620099789836,2.271180818445122,,,13.261240199579673,4.542361636890244
67,-0.35440993,-0.12307265,-0.53852838,181.80999999999995,-173.35,6.998154823288513,2.442734590084018,,,13.996309646577027,4.885469180168036
67,-0.34788674,-0.12581401,-0.54800773,481.1700000000001,-155.64,7.508095333876733,2.590492711659493,481.1700000000001,-155.64,15.016190667753467,5.180985423318986
67,-0.37233517,-0.08393038,-0.21396104,330.90999999999997,-83.68,9.73714692363914,3.263208364490909,330.90999999999997,-83.68,19.47429384727828,6.526416728981818
67,-0.34478042,-0.25251019,-0.23898116,-217.91000000000003,-95.07,-8.709000810928758,3.06984807294897,,,-17.418001621857517,6.13969614589794
67,-0.39164075,-0.08105227,-0.22412902,306.38,-40.53999999999999,9.080039213189549,3.343407306472371,306.38,-40.53999999999999,18.160078426379098,6.686814612944742
67,-0.2983363,-0.08395316,-0.2341924,216.25,-13.620000000000005,9.790170304505041,3.3793228644846094,,,19.580340609010083,6.758645728969219
67,-0.29771456,-0.14128576,-0.24092686,266.08000000000004,-81.26999999999998,8.16173200795933,3.124901174744762,266.08000000000004,-81.26999999999998,16.32346401591866,6.249802349489524
67,-0.41628101,-0.06318555,-0.19521503,189.07000000000005,-184.72,8.682787854673638,3.218236616144991,,,17.365575709347276,6.436473232289982
67,-0.35893396,-0.04483285,-0.20923866,136.20000000000005,-287.99,8.064610827317912,3.6454305269537888,,,16.129221654635824,7.2908610539075775
67,-0.42638686,-0.37252218,-0.49419606,79.57000000000005,-187.28,6.831133853738186,2.1619507955370096,,,13.662267707476373,4.323901591074019
67,-0.43612435,-0.36442077,-0.46194282,206.78999999999996,-211.24,8.944849507632904,2.327730960802773,,,17.88969901526581,4.655461921605546
67,-0.43294534,-0.36466679,-0.45719233,191.5,-196.3,7.041822241637449,2.5176167417046744,,,14.083644483274899,5.035233483409349
67,-0.42985788,-0.36918402,-0.46940389,415.90999999999997,163.14,6.217799412979574,2.608666330077579,415.90999999999997,163.14,12.435598825959149,5.217332660155158
67,-0.38132161,-0.1125159,-0.21917452,168.09000000000003,-212.17000000000002,6.778173506308543,2.946532557688658,,,13.556347012617087,5.893065115377316
67,-0.41356558,-0.36506203,-0.5021674,-31.789999999999964,-121.30000000000001,-9.803022524234535,3.615935904557117,,,-19.60604504846907,7.231871809114234
67,-0.42123082,-0.37286115,-0.50144714,540.76,285.21000000000004,-9.478221253205367,2.3940289662286602,540.76,285.21000000000004,-18.956442506410735,4.7880579324573205
67,-0.43050343,-0.36829585,-0.47619712,-600.0,-282.75,-8.046152078801075,2.743271924785321,-600.0,-282.75,-16.09230415760215,5.486543849570642
67,-0.33123052,-0.25554821,-0.21962765,-176.52999999999997,-150.22,-8.274076527448257,3.1968445512711856,,,-16.548153054896513,6.393689102542371
67,-0.42082924,-0.12880056,-0.2023163,198.95000000000005,-14.129999999999995,7.178823466503076,2.1831437655997736,,,14.357646933006151,4.366287531199547
67,-0.41203472,-0.09442939,-0.21693772,186.64,-158.41,8.10031662774615,2.4844532587042294,,,16.2006332554923,4.968906517408459
67,-0.39933938,-0.14469664,-0.24494447,-120.83999999999997,-55.650000000000006,-8.594280811885973,2.5984140919855836,,,-17.188561623771946,5.196828183971167
67,-0.41792262,-0.10475057,-0.20148562,416.65999999999997,-174.89,8.539346538492715,2.574509068846163,416.65999999999997,-174.89,17.07869307698543,5.149018137692326
67,-0.39167294,-0.11323876,-0.20046052,290.4,-83.43,8.826538774363488,3.604902947184017,290.4,-83.43,17.653077548726976,7.209805894368034
67,-0.40536636,-0.08162373,-0.19887635,327.72,-155.92,9.392218965598621,3.0468036176048527,327.72,-155.92,18.784437931197242,6.0936072352097055
67,-0.38795406,-0.05888736,-0.19709902,302.08000000000004,-100.61000000000001,8.354470672459707,3.246996977420985,302.08000000000004,-100.61000000000001,16.708941344919413,6.49399395484197
67,-0.42644876,-0.36678976,-0.47640345,-23.950000000000045,-126.66999999999999,-6.8508128646735145,0.8310590884192948,,,-13.701625729347029,1.6621181768385895
