Participant,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
15,-0.22679789,-0.16043799,-0.20390016,408.24,-100.25,13.490016353694296,3.7836812136589195,408.24,-100.25,35.03357247054409,9.826220111872216
15,-0.23954877,-0.20195527,-0.20270601,-27.889999999999986,109.69,10.595004528530753,4.040058550256122,,,27.515226760594366,10.49203205501515
15,-0.20008262,-0.18607421,-0.2001313,392.28999999999996,-172.66,11.939021432497313,3.2964403260110204,392.28999999999996,-172.66,31.005638660195523,8.56085552665062
15,-0.19278975,-0.17064208,-0.20949702,322.65,-59.75999999999999,13.362344762316596,3.604768954814757,322.65,-59.75999999999999,34.7020093477362,9.361584975653923
15,-0.20769274,-0.16320243,-0.2058267,411.55999999999995,-128.89,12.899027949234604,4.287863907725101,411.55999999999995,-128.89,33.49877558416227,11.135582568362086
15,-0.19293903,-0.16857468,-0.1901986,-49.91999999999996,-46.77000000000001,13.70577503151091,4.181278511550215,,,35.59389775683383,10.85878029449591
15,-0.20729889,-0.17053892,-0.21203578,324.02,-137.06,11.122364175509741,3.516109737398308,324.02,-137.06,28.884779763798797,9.131336988023406
15,-0.14659861,-0.29480866,-0.22265393,-321.14,-168.69,-11.867202219624316,3.9110652379706865,-321.14,-168.69,-30.819124164364347,10.157036423009872
15,-0.17029426,-0.18520488,-0.22440712,352.15,-115.67,10.668649193615451,3.4237979734103297,352.15,-115.67,27.706481955819328,8.891603336946627
15,-0.1068459,-0.2674644,-0.23449494,-290.57,-223.13,-12.470822037391853,4.085546191931119,-290.57,-223.13,-32.38672483110664,10.610163460445115
15,-0.14267674,-0.27986577,-0.22468252,-185.74,-135.95,-10.613075407424333,5.479915634450306,,,-27.56215683308099,14.231340902667446
15,-0.16776866,-0.1795506,-0.21207069,321.67999999999995,-118.62,10.845604643995514,3.280740987857505,321.67999999999995,-118.62,28.16603526045635,8.52008434546594
15,-0.15997055,-0.15272148,-0.19984095,27.730000000000018,-55.94999999999999,13.169331578251885,4.771966402916416,,,34.20075410872015,12.392796748373932
15,-0.36874488,-0.42642206,-0.51010907,20.99000000000001,-23.53,-11.163016105859505,1.478399328603742,,,-28.990352826917135,3.8394030563839188
15,-0.13522083,-0.2883178,-0.21970694,-406.02,-94.32,-13.826211297760613,1.9734946641011062,-406.02,-94.32,-35.90667074028431,5.125165642670572
15,-0.37487435,-0.42901793,-0.52242887,70.14999999999998,-28.289999999999992,-15.318011909608117,2.1443445937978822,,,-39.78087692925228,5.568862910093099
15,-0.16840854,-0.17661662,-0.21835682,358.63,-71.22999999999999,10.104800990600097,1.5426180015205615,358.63,-71.22999999999999,26.242168172588453,4.0061789499488984
15,-0.15090731,-0.28566465,-0.22574891,-385.91999999999996,-146.96,-16.48869783349591,3.293393517347935,-385.91999999999996,-146.96,-42.821148273588875,8.552942964552585
15,-0.16981684,-0.16584328,-0.20615052,464.8699999999999,-139.01,14.05819115722702,2.207834079817662,464.8699999999999,-139.01,36.50912243531857,5.73374510528647
15,-0.19513066,-0.17473191,-0.20452888,447.78,-106.11,12.548830665764914,1.9775934495132672,447.78,-106.11,32.58931323899148,5.135810188385953
15,-0.17478828,-0.18094352,-0.20929171,483.6600000000001,-75.12,13.87067238806206,1.731044319157136,483.6600000000001,-75.12,36.022136191797166,4.495522096851083
15,-0.17866796,-0.15890306,-0.2156872,611.31,-137.37,17.28656387761772,2.8097848606171585,611.31,-137.37,44.89320639017322,7.2970112830227585
15,-0.21385543,-0.14260882,-0.20340341,527.79,-149.07,15.728626372752785,2.3387602019926987,527.79,-149.07,40.84724269003898,6.073760244575038
15,-0.17516986,-0.17992531,-0.21225046,359.0899999999999,-46.400000000000006,11.815016015588224,1.8454572140760455,359.0899999999999,-46.400000000000006,30.68359659248262,4.792652384955492
15,-0.20883527,-0.17211056,-0.1928705,353.3800000000001,-54.44,11.243252388659693,1.4209974653306814,353.3800000000001,-54.44,29.198726453349224,3.6903304174637785
15,-0.18778874,-0.14816961,-0.20974205,33.47000000000003,-40.91999999999999,15.097609913353388,3.0524926761193347,,,39.20849294497875,7.927323479881913
15,-0.14061818,-0.29349276,-0.23043165,13.850000000000023,-67.81,-15.253102592700236,2.240737338063999,,,-39.61230743324251,5.819194866952206
15,-0.13944274,-0.3005538,-0.23094939,11.490000000000009,-78.97999999999999,-16.809695883008615,2.5422954639272026,,,-43.65478020817337,6.602341319818944
15,-0.15616319,-0.23167402,-0.26193398,-503.95,-170.04000000000002,-17.061842256110985,2.6176882117669606,-503.95,-170.04000000000002,-44.30960433912023,6.7981362859587975
15,-0.17323478,-0.1657716,-0.21862225,529.6700000000001,-106.21000000000001,15.569242262656863,2.670960347111161,529.6700000000001,-106.21000000000001,40.43332215611987,6.936484021447686
15,-0.16436206,-0.15224385,-0.21995375,514.6800000000001,-65.06,17.1955106963221,2.938714085887252,514.6800000000001,-65.06,44.65674127834849,7.631840481049192
15,-0.17407493,-0.16037348,-0.2081129,507.78999999999996,-122.07,14.483282980105052,2.564284373855232,507.78999999999996,-122.07,37.61308589933282,6.659446518902037
15,-0.18720478,-0.1547927,-0.21849495,458.3599999999999,-41.59,14.665553587317985,2.5908022173282372,458.3599999999999,-41.59,38.08644266626481,6.728313358401431
15,-0.17768316,-0.13950253,-0.20610349,61.76999999999998,-50.900000000000006,14.180767756491866,3.9529009281607133,,,36.82745386360938,10.26568371043337
15,-0.1639507,-0.19167387,-0.21226962,-693.0,-251.25,11.854186291855294,2.0096486384738697,-693.0,-251.25,30.7853217999482,5.21905751411664
15,-0.17928073,-0.1467759,-0.19735397,397.8499999999999,-81.62,13.325760467677489,2.2588775170602675,397.8499999999999,-81.62,34.60699993455844,5.866304911805514
15,-0.19384168,-0.14864694,-0.21491499,514.45,-52.27000000000001,15.756998699013465,2.8433537093656778,514.45,-52.27000000000001,40.92092562133797,7.384189583222668
15,-0.20832701,-0.16701993,-0.22126795,559.1400000000001,-117.25999999999999,15.842889737763239,3.8811750878186935,559.1400000000001,-117.25999999999999,41.14398464897113,10.079411703065148
15,-0.3715325,-0.42659247,-0.51138926,67.53999999999996,-63.83000000000001,12.085930100531531,2.1608251953858293,,,31.387160471080385,5.611663032416997
15,-0.36666366,-0.42368189,-0.50510126,485.98,27.860000000000014,12.552798384975627,2.251917480992928,485.98,27.860000000000014,32.59961740578171,5.848229698138635
15,-0.37011707,-0.427883,-0.5089547,630.6700000000001,65.19999999999999,13.397381218875005,2.4062252058358204,630.6700000000001,65.19999999999999,34.79299902541839,6.248966859555626
15,-0.36788136,-0.42564052,-0.50463873,32.860000000000014,42.45999999999998,14.279832533914815,2.5392267398478223,,,37.084725090576775,6.594371843384794
15,-0.37026307,-0.42918894,-0.50752318,76.10000000000002,-5.47999999999999,14.93281974983415,2.742204555703008,,,38.780532890319286,7.121505231160713
15,-0.19111365,-0.16883938,-0.22394055,531.5999999999999,-90.5,15.833697540194613,2.913071740731981,531.5999999999999,-90.5,41.12011251188541,7.565247310680952
15,-0.36946145,-0.42779577,-0.50900912,357.07000000000005,85.94,14.936468565073913,3.0441322970629274,357.07000000000005,85.94,38.79000886349695,7.905611575472422
15,-0.37037367,-0.42774713,-0.50780171,149.0,16.430000000000007,16.030936423592394,3.2267958048398855,,,41.63234189206945,8.379988705169183
15,-0.18141162,-0.16797714,-0.21799327,577.3399999999999,-21.689999999999998,16.98594486006123,3.375926684333556,577.3399999999999,-21.689999999999998,44.112498801579015,8.767281599214243
15,-0.17692678,-0.18896192,-0.22325563,516.2,-102.08000000000001,14.583949188805512,2.5895178191596084,516.2,-102.08000000000001,37.874516043327915,6.724977776357504
15,-0.12411266,-0.29994661,-0.22692385,-434.03999999999996,-156.42000000000002,-16.89374033919132,2.1094048071166833,-434.03999999999996,-156.42000000000002,-43.87304366087986,5.478124284082028
15,-0.1394726,-0.26154312,-0.23609659,-385.24,-144.45999999999998,-14.6795945200119,1.9036315150333225,-385.24,-144.45999999999998,-38.12290696847091,4.943731044541536
