Participant,trigger_no,horizontal_angle_finger_pointing_unscaled,eyegaze_horiz_angle_x,angle_center,Buidling_half_width,horizontal_angle_finger_pointing,eyegaze_horiz_angle_x_scaled_without_tablet,angle_center_scaled,Buidling_half_width_scaled
66,49.0,38.0,4.505660446870302,8.75530303270811,3.3585478567123612,17.86,18.939860010471243,17.86957348975725,6.85479617554993
66,49.0,38.0,10.210258622240001,8.759660483861772,3.370601032144525,17.86,18.939860010471243,17.878467047561877,6.8793967066069746
66,49.0,38.0,6.97451548625129,8.801880370188478,3.38407790221958,17.86,18.939860010471243,17.964637835554683,6.906902998430162
66,49.0,45.0,37.13698041268871,24.951059449807484,10.63233611801802,21.15,18.939860010471243,50.92511233705707,21.700598016874775
66,49.0,45.0,36.36546321288215,25.25832301561094,10.761648874855233,21.15,18.546386238569895,51.55223727486193,21.96452535357953
66,49.0,45.0,23.38700087773622,25.69141866013873,10.89322620667566,21.15,11.927370447645472,52.436185485343145,22.233074687825024
66,50.0,-15.0,-25.38060132203637,39.356967173484186,11.662413124396627,-7.05,-12.944106674238549,80.32757000108123,23.802985186893515
66,50.0,-15.0,-28.725128383197802,40.14328988777708,11.772566400867245,-7.05,-14.649815475430879,81.93245466095301,24.027808024170046
66,50.0,-15.0,-31.326684380945512,41.0115412300038,11.879915769022041,-7.05,-15.97660903428221,83.70455565043775,24.246908084573988
66,51.0,-15.0,-17.6322540843791,-28.5121806461352,7.141485313823345,-7.05,,-58.19336069876194,14.57577152551345
66,51.0,-15.0,-16.91011398536016,-29.015261741208622,7.213185633644445,-7.05,,-59.2201492138068,14.722111878268308
66,51.0,-15.0,-17.31130292925957,-29.530031556969707,7.278359634786414,-7.05,,-60.27079440777517,14.855132014599072
66,52.0,-35.0,9.402480114042534,-21.169104640030312,7.161243193709264,-16.45,,-43.206142570301864,14.616097358360609
66,52.0,-42.0,8.269121347526694,-21.450925897316814,7.231588011980836,-19.74,,-43.78133975642362,14.759671132452889
66,52.0,-42.0,0.3109214315220411,-21.698548729361445,7.30299520991157,-19.74,,-44.28673795662671,14.905413223429514
66,53.0,20.0,-8.55998333185377,-72.26723442761086,37.18861316597949,9.399999999999999,,-147.49742546675375,75.90195947176413
66,53.0,20.0,-10.128477799060503,-74.04062527313364,37.87861681146791,9.399999999999999,,-151.11691618246576,77.310256912206
66,53.0,20.0,-11.278809943972085,-75.68449374387679,38.49685270530261,9.399999999999999,,-154.47205173125252,78.57207637152263
66,54.0,-15.0,-11.00569285524056,22.275980444919217,11.079858191539582,-7.05,-18.699841009611422,45.46527608808012,22.613990568932287
66,54.0,-15.0,-36.66635492080671,22.595782030000112,11.230877609864434,-7.05,-18.699841009611422,46.117991123230226,22.922221201733308
66,54.0,-15.0,-37.86220658050688,22.984089516174606,11.371342462105268,-7.05,-19.309725356058507,46.91052670251237,23.20890996515685
66,55.0,41.0,-6.285550626824037,-11.22560291073603,4.183533512485768,19.27,,-22.911455540812234,8.538591898983453
66,55.0,41.0,-7.207513680592874,-11.235900040136695,4.2079187573546,19.27,,-22.932471981918994,8.588362183760736
66,55.0,41.0,-9.122419370512754,-11.3081011255,4.232594441161643,19.27,,-23.0798343971455,8.638725254410911
66,57.0,38.0,16.958719568947966,6.4639234322639725,2.3228192163349397,17.86,,13.192867725250768,4.740874020539612
66,57.0,38.0,-9.061469511728037,6.4383313969132665,2.333875134178791,17.86,,13.140634381099977,4.763439148858913
66,57.0,38.0,-5.57189721700297,6.37208476922799,2.3450345433831474,17.86,,13.005425013994326,4.786215503045003
66,57.0,25.0,11.862848464225648,9.477942103977377,3.3908922354262057,11.75,,19.344479834217825,6.9208110525048845
66,57.0,25.0,8.117132459164809,9.543736507283924,3.4141349213252554,11.75,,19.478766211366487,6.968249374424846
66,57.0,25.0,12.463088845675149,9.610442123650467,3.4376888571028137,11.75,,19.6149123743706,7.016322957346842
66,59.0,38.0,27.189809155582747,6.531250456975666,2.285872396429282,17.86,13.866802669347202,13.330282182687334,4.665465561112165
66,59.0,38.0,28.03539200657074,6.520427091747226,2.2965086396564023,17.86,14.298049923351076,13.308191694256086,4.687174133538717
66,59.0,38.0,30.164779478036845,6.591915561458394,2.307243796128362,17.86,15.384037533798791,13.454099660936581,4.709084587897987
66,59.0,-45.0,17.550473261199603,9.803447885961805,3.5398763983320407,-21.15,15.384037533798791,20.008837135248044,7.224887728995695
66,59.0,-45.0,22.32076410760355,9.915916716271388,3.5650297808960993,-21.15,11.383589694877811,20.238386017909903,7.276225782808938
66,59.0,-45.0,22.333879900000266,10.044453683005695,3.5905206035656536,-21.15,11.390278749000135,20.500729967014625,7.328252551877498
66,61.0,32.0,3.0390062500380344,2.880710551534066,2.9004852769057896,15.04,-14.225257275549325,5.879530235681028,5.919890450164717
66,61.0,32.0,3.112300384019661,3.5155381485169173,2.9123796287908537,15.04,-14.225257275549325,7.175213361123028,5.944166822362132
66,61.0,32.0,-27.892661324606518,3.972664545689275,2.9210518084769164,15.04,-14.225257275549325,8.10820833775181,5.961866741101386
66,61.0,41.0,32.88592064175457,18.63989193973535,8.488281178830874,19.27,16.771819527294834,38.04401944899985,17.324581885993815
66,61.0,45.0,3.7086831794701323,18.869468478193525,8.572648788434597,21.15,16.771819527294834,38.51258516399298,17.496776177195013
66,61.0,45.0,1.269145793681793,19.1300310005753,8.677849002981961,21.15,16.771819527294834,39.04439327217419,17.711489815086185
66,62.0,-34.0,42.95884920242899,39.9035285312822,12.05447700538403,-15.979999999999999,,81.44310173234696,24.603187567988805
66,62.0,-34.0,45.399929622616966,40.77128632199711,12.180838707315198,-15.979999999999999,,83.2141953831961,24.861091801630316
66,62.0,-34.0,27.549336170692605,41.94535794996549,12.328002474418087,-15.979999999999999,,85.61047557587956,25.161453050287317
66,63.0,-16.0,-15.450403443326145,-56.830754837046925,13.487862695081418,-7.52,,-115.99157062241277,27.528727760661177
66,63.0,-24.0,-15.821503216433102,-58.24729307156804,13.822090565261163,-11.28,,-118.88272515907036,28.210886843698027
66,63.0,-24.0,-16.318360293108523,-59.36210148196284,14.093216109226887,-11.28,,-121.15804912468614,28.76425407893207
66,64.0,-26.0,-16.133196165154956,-48.530822428864894,13.009750099447729,-12.219999999999999,,-99.05140857731324,26.55289995297281
66,64.0,-26.0,-15.561501920098292,-49.45850059244481,13.30567060979078,-12.219999999999999,,-100.94479970917985,27.156873714582986
66,64.0,-26.0,-15.994323069189774,-50.954479258381355,13.754949347605532,-12.219999999999999,,-103.99809216635634,28.073851618462896
66,65.0,41.0,17.915400896708107,-24.152165628168312,8.16441576151829,19.27,13.835324767595093,-49.294570047091526,16.663572569258832
66,65.0,41.0,27.12808777959822,-24.514623400931068,8.23297638426081,19.27,13.835324767595093,-50.03434636130031,16.803504800276315
66,65.0,41.0,58.99444844180842,-24.83966256093646,8.282953956447411,19.27,13.835324767595093,-50.697751286871316,16.90550902510917
66,66.0,-26.0,51.3568139223234,17.017200266920806,6.602237130687325,-12.219999999999999,26.191975100384933,34.732105744785365,13.475165983732829
66,66.0,-26.0,61.8143438071014,17.19103962920525,6.691881555413635,-12.219999999999999,31.525315341621717,35.08691188320791,13.658130254599227
66,66.0,-26.0,59.84388887879545,17.29790627770116,6.775211096299326,-12.219999999999999,30.520383328185677,35.30502671278806,13.828205847546926
66,67.0,-35.0,-15.903284039612599,-49.649734486617206,13.149104584628105,-16.45,,-101.33510808718572,26.83732245722596
66,67.0,-35.0,-11.055069956028182,-51.089064118078056,13.578287915854702,-16.45,,-104.2727798649973,27.71328563625945
66,67.0,-34.0,-10.952458168453909,-52.21802911634296,13.925375204041785,-15.979999999999999,,-106.57699742645597,28.42169079144928
66,68.0,45.0,11.222489188386207,-23.84636023151858,6.83056047918674,21.15,,-48.67042123252942,13.941173938020135
66,68.0,45.0,-1.9588821703088517,-24.27338825624088,6.903611925336007,21.15,,-49.54198543098764,14.090271939610787
66,68.0,45.0,-0.3988743922999878,-24.60836055673826,6.977678030795584,21.15,,-50.225663896302784,14.241440860853785
