Participant,trigger_no,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
67,25.0,-0.37151921,-0.10098302,-0.20661247,116.75,-77.94,11.343036967295113,1.970607704876005,768.5,-70.4,22.686073934590226,3.94121540975201
67,25.0,-0.36853832,-0.10796071,-0.21117404,128.12,-85.07,11.417749477763097,1.9791873107917892,768.5,-70.4,22.835498955526194,3.9583746215835784
67,25.0,-0.3696245,-0.11229875,-0.2154687,140.12,-89.63999999999999,11.60255062329583,1.9878349460582303,768.5,-70.4,23.20510124659166,3.9756698921164606
67,25.0,-0.36763963,-0.11477421,-0.21527547,137.35000000000002,-105.16,11.67850329035586,1.9965642054494985,768.5,-70.4,23.35700658071172,3.993128410898997
67,25.0,-0.36677912,-0.11746807,-0.2144051,135.76,-112.67,11.787604870952926,2.006243099998045,768.5,-70.4,23.57520974190585,4.01248619999609
67,25.0,-0.29120281,0.09047236,-0.18014787,768.5,-70.4,27.150135244161454,4.361355306885372,768.5,-70.4,54.30027048832291,8.722710613770744
67,25.0,-0.29099393,0.09025674,-0.1817334,775.23,-66.78999999999999,27.515311601755005,4.393030293721239,775.23,-66.78999999999999,55.03062320351001,8.786060587442478
67,25.0,-0.29119051,0.09187257,-0.18598835,792.69,-68.85,27.796181448666474,4.42858937815692,792.69,-68.85,55.59236289733295,8.85717875631384
67,25.0,-0.29043648,0.09714976,-0.19194138,808.8199999999999,-64.09,28.225943109885023,4.468160219241247,808.8199999999999,-64.09,56.451886219770046,8.936320438482493
67,25.0,-0.28809217,0.10363422,-0.19708018,825.3299999999999,-69.33,28.52777049584063,4.504529867418539,825.3299999999999,-69.33,57.05554099168126,9.009059734837077
67,26.0,-0.3550497,-0.06930839,-0.19644982,-325.34000000000003,35.59,13.691746073295535,2.316712975428892,-325.34000000000003,35.59,27.38349214659107,4.633425950857784
67,26.0,-0.34850425,-0.06348389,-0.19100876,-272.78,2.460000000000008,13.815228621044003,2.327211553636988,-272.78,2.460000000000008,27.630457242088006,4.654423107273976
67,26.0,-0.34431514,-0.057405,-0.19211338,-266.56,89.1,13.917099469516094,2.3401659076435255,-266.56,89.1,27.834198939032188,4.680331815287051
67,26.0,-0.34374064,-0.05147122,-0.19615726,-244.60000000000002,86.71000000000001,14.0656421273977,2.3508725842250406,-266.56,89.1,28.1312842547954,4.701745168450081
67,26.0,-0.34998128,-0.04789611,-0.20436956,-282.1,78.08000000000001,14.18660112440689,2.3640738424544763,-282.1,78.08000000000001,28.37320224881378,4.7281476849089525
67,27.0,-0.36751157,-0.03928782,-0.21769252,479.29999999999995,69.94999999999999,15.383048103486447,2.662170674531292,479.29999999999995,69.94999999999999,30.766096206972893,5.324341349062584
67,27.0,-0.364016,-0.04145409,-0.21341343,479.02,63.639999999999986,15.464370057694863,2.677354542945144,479.02,63.639999999999986,30.928740115389726,5.354709085890288
67,27.0,-0.36562774,-0.04475618,-0.21725544,470.96000000000004,48.24000000000001,15.687639996351088,2.691162478055027,470.96000000000004,48.24000000000001,31.375279992702175,5.382324956110054
67,27.0,-0.36754215,-0.04467245,-0.21955518,465.13,19.0,15.729404781611452,2.7082154538409418,465.13,19.0,31.458809563222903,5.4164309076818835
67,27.0,-0.37657562,-0.04909365,-0.23461348,485.53,-22.879999999999995,15.836296854328276,2.7238921128718845,485.53,-22.879999999999995,31.672593708656553,5.447784225743769
67,28.0,-0.28166193,-0.35678661,-0.25108701,-554.71,-50.31999999999999,-19.056878732996044,2.2549095302248023,-554.71,-50.31999999999999,-38.11375746599209,4.509819060449605
67,28.0,-0.27320191,-0.37086892,-0.23056655,-557.3,-30.289999999999992,-19.138952820258318,2.2688838627824044,-557.3,-30.289999999999992,-38.277905640516636,4.537767725564809
67,28.0,-0.26997668,-0.37438208,-0.2257593,-553.14,-39.41999999999999,-19.33781573542759,2.28158088534245,-553.14,-39.41999999999999,-38.67563147085518,4.5631617706849
67,28.0,-0.26699221,-0.35774624,-0.22199751,-559.17,-31.580000000000013,-19.569984322935245,2.2972635347254453,-559.17,-31.580000000000013,-39.13996864587049,4.594527069450891
67,28.0,-0.27100343,-0.33108434,-0.22721988,-568.44,-29.620000000000005,-19.668241975338557,2.311690493004816,-568.44,-29.620000000000005,-39.33648395067711,4.623380986009632
