Participant,trigger_no,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
17,25.0,-0.45525041,0.18617247,-0.57392722,283.01,538.69,16.991179421743173,3.0378023890484522,,,39.062721490587556,6.983907692422388
17,25.0,-0.45418873,0.18800448,-0.56964105,516.3,713.72,17.08325935606562,3.0610526670542217,,,39.274413259594866,7.0373600815576545
17,25.0,-0.45113567,0.18329914,-0.56173664,483.62,749.99,17.213672871899693,3.0806784442422916,,,39.57423393249739,7.082479743313026
17,25.0,-0.46110305,0.17200114,-0.55507237,461.14,738.4,17.300596816276506,3.100528988310982,,,39.77407208061969,7.128116144126949
17,25.0,-0.46251625,0.15702479,-0.5471167,444.15999999999997,740.36,17.411129047034066,3.1206130987692795,,,40.02818567913132,7.174289514070573
17,26.0,-0.35861823,0.00539755,-0.2172212,424.21000000000004,352.95000000000005,15.765004111375012,2.889502697572828,432.78999999999996,180.85000000000002,36.24374445205115,6.642966701719933
17,26.0,-0.35896543,0.00113113,-0.21558,367.15,447.15,15.872543029176128,2.90543664504653,432.78999999999996,180.85000000000002,36.49097642407592,6.679598846961973
17,26.0,-0.35913941,-0.00139367,-0.21659186,346.26,362.03999999999996,15.970179920674038,2.9251144012334755,432.78999999999996,180.85000000000002,36.71544363762961,6.724838008435762
17,26.0,-0.3563785,-0.00394669,-0.21573375,326.66999999999996,399.19000000000005,16.130149502513955,2.9414088416774025,432.78999999999996,180.85000000000002,37.08321370627958,6.762298927016346
17,26.0,-0.35360163,-0.0050389,-0.21462327,432.78999999999996,180.85000000000002,16.165128814533716,2.961539389353349,432.78999999999996,180.85000000000002,37.163631144613014,6.8085790561233495
17,26.0,-0.29122373,0.07742542,-0.20955166,678.27,157.7,25.2719846829021,4.458101419771808,678.27,157.7,58.100292785991925,10.249175164055384
17,26.0,-0.29704562,0.0776209,-0.21664327,680.48,150.81,25.404532655913112,4.499247260266673,680.48,150.81,58.40502057594424,10.34376945135308
17,26.0,-0.29777867,0.07712641,-0.21857685,607.1199999999999,262.89,25.61155004407935,4.537151598059536,607.1199999999999,262.89,58.88095355133843,10.430911523938871
17,26.0,-0.29688722,0.07573545,-0.21607076,615.1800000000001,189.24,25.756541274156117,4.575604053385234,615.1800000000001,189.24,59.21428838928491,10.519313718732654
17,26.0,-0.29774037,0.07891608,-0.21223167,300.59000000000003,285.37,25.92723907021908,4.614576679185845,300.59000000000003,285.37,59.606722622433665,10.608911785448257
17,27.0,-0.32955393,0.01232554,-0.24131159,308.71000000000004,544.57,17.203042539404994,2.9447192395497517,327.13,272.87,39.54979479809208,6.769909531724878
17,27.0,-0.33326054,0.01322631,-0.24361004,327.13,272.87,17.308614441755136,2.9611841509231906,327.13,272.87,39.792504601595056,6.807762362972415
17,27.0,-0.33395168,0.00953086,-0.24535696,298.35,635.57,17.435573038887977,2.9796782185922384,327.13,272.87,40.08438241640346,6.850280224543553
17,27.0,-0.33560666,0.00682067,-0.24618858,321.39,600.34,17.483065048671904,2.998372684807384,327.13,272.87,40.193566546896704,6.8932588023721735
17,27.0,-0.33321223,0.00536125,-0.24364057,322.14,604.84,17.702443357970445,3.019202573856899,327.13,272.87,40.69791727997405,6.941146717297013
17,28.0,-0.29591212,-0.3310498,-0.2384526,-366.96000000000004,385.24,-19.708442547475688,2.365285179917203,-366.96000000000004,385.24,-45.309709416646605,5.437790628629649
17,28.0,-0.2963925,-0.33408114,-0.23788792,-478.53,353.63,-19.91530638954516,2.38203157376636,-478.53,353.63,-45.785289389564326,5.476290588088862
17,28.0,-0.30033606,-0.33680046,-0.23803698,-539.69,357.78,-20.05395823007134,2.3958616312899395,-539.69,357.78,-46.104049970934014,5.508085890335572
17,28.0,-0.30267456,-0.3365396,-0.23605989,-551.11,359.91999999999996,-20.155514752619315,2.4129636727951436,-551.11,359.91999999999996,-46.3375284162718,5.547403483756032
17,28.0,-0.30461779,-0.33336869,-0.23412395,-545.5699999999999,364.27,-20.30348217267964,2.427113687507033,-545.5699999999999,364.27,-46.67770551499049,5.579934367578666
17,29.0,-0.30937532,-0.01292326,-0.2160238,468.89,123.74000000000001,17.952977697693235,3.009138017493717,468.89,123.74000000000001,41.27389572699675,6.918008302218055
17,29.0,-0.31339416,-0.01268082,-0.21717593,452.78999999999996,193.41000000000003,18.151125742558044,3.0281611355568137,452.78999999999996,193.41000000000003,41.729438082140945,6.961742450645115
17,29.0,-0.31260714,-0.00956017,-0.21622872,408.35,306.23,18.3305155153221,3.0473913432187336,452.78999999999996,193.41000000000003,42.14185516972551,7.005952698059868
17,29.0,-0.31412917,-0.00864822,-0.21470374,423.54999999999995,224.92999999999995,18.43678568320608,3.0687991528094525,423.54999999999995,224.92999999999995,42.386170285690774,7.055169252308932
17,29.0,-0.31622714,-0.00806445,-0.21743071,437.53,245.91999999999996,18.628239335340364,3.086515965001471,437.53,245.91999999999996,42.82632223194749,7.095900203538381
17,30.0,-0.33344528,0.01504518,-0.18902726,521.54,177.61,20.29119152072358,3.508225525048882,521.54,177.61,46.64944930614351,8.06541048208738
17,30.0,-0.33416528,0.01594185,-0.18775913,512.1099999999999,182.93,20.364115877141455,3.5358232352217964,512.1099999999999,182.93,46.817102401548205,8.128857617774909
17,30.0,-0.3352879,0.01599293,-0.18867511,524.1400000000001,152.61,20.49657639157892,3.5586937006056694,524.1400000000001,152.61,47.12162912423994,8.181436817692433
17,30.0,-0.33690315,0.01912225,-0.19234452,563.1099999999999,174.92000000000002,20.645604506348818,3.58440289482048,563.1099999999999,174.92000000000002,47.46424476009593,8.240542255192281
17,30.0,-0.3366197,0.0196904,-0.1932212,578.1800000000001,161.20999999999998,20.78051183046717,3.610430283167709,578.1800000000001,161.20999999999998,47.77439669824402,8.300379221002562
17,31.0,-0.37484458,-0.05764668,-0.20418811,325.22,318.57000000000005,15.148472985123686,4.379392851894697,265.26,378.12,34.826339392799355,10.06822416650591
17,31.0,-0.3650592,-0.05924126,-0.2130013,265.26,378.12,15.250537707025899,4.4039672375588905,265.26,378.12,35.06098618845254,10.12472067914789
17,31.0,-0.3600693,-0.06320401,-0.21399376,260.36,292.1,15.27706393494754,4.428795475135136,260.36,292.1,35.12196998644439,10.18180079733568
17,31.0,-0.36339852,-0.05947397,-0.21507819,258.13,299.26,15.387658340087894,4.4564125226045235,258.13,299.26,35.376226523862066,10.2452923894678
17,31.0,-0.36592668,-0.05714272,-0.21181367,391.87,214.32,15.475805281832978,4.481804436027493,391.87,214.32,35.57887634293402,10.303668398427204
17,32.0,-0.35378569,-0.05353773,-0.2073409,200.01999999999998,291.51,13.987069697982937,2.453719493730211,251.77999999999997,206.90999999999997,32.15627323566277,5.641101116085753
17,32.0,-0.35414857,-0.05614588,-0.21055853,219.04999999999995,205.42999999999995,14.131878036620176,2.4681023636607042,251.77999999999997,206.90999999999997,32.48918760618978,5.674167334055959
17,32.0,-0.35451087,-0.05744058,-0.21076871,251.77999999999997,206.90999999999997,14.168529262865981,2.481316029170519,251.77999999999997,206.90999999999997,32.57344877532889,5.704545551063022
17,32.0,-0.35438943,-0.05620043,-0.21025769,259.30999999999995,432.95000000000005,14.271229984050466,2.493322583732649,251.77999999999997,206.90999999999997,32.80955773333202,5.732148620001359
17,32.0,-0.35433963,-0.05607212,-0.20933546,319.03999999999996,173.79000000000002,14.31833983979438,2.5067887599724923,319.03999999999996,173.79000000000002,32.917863291687276,5.763107359176759
17,33.0,-0.36530024,-0.06698137,-0.21262099,358.74,93.05000000000001,13.239353721833172,2.362359513129454,358.74,93.05000000000001,30.43727420649446,5.431064520684616
17,33.0,-0.36580262,-0.06526615,-0.2126282,400.89,112.63,13.305007554832079,2.3745023294375365,400.89,112.63,30.58821236855895,5.458980855376897
17,33.0,-0.36791268,-0.06201269,-0.21192831,453.27,109.95999999999998,13.371304416983936,2.3867638188229794,453.27,109.95999999999998,30.74062885464607,5.4871700194740285
17,33.0,-0.36739627,-0.06380718,-0.2138682,477.4,104.79000000000002,13.438105617595545,2.399148039311547,477.4,104.79000000000002,30.894204814852156,5.515641342377247
17,33.0,-0.36561239,-0.06393809,-0.21384223,487.77,107.14999999999998,13.41821065822817,2.4116567883563524,487.77,107.14999999999998,30.848466303266562,5.5443989564312535
17,34.0,-0.30136141,-0.05010172,-0.24517438,491.20000000000005,-1491.69,16.393905163032375,2.9238308630752172,491.20000000000005,47.56999999999999,37.68958796981143,6.721887154209925
17,34.0,-0.30072418,-0.04837133,-0.24578661,491.20000000000005,47.56999999999999,16.47146150980781,2.9419379736724114,491.20000000000005,47.56999999999999,37.867890011048154,6.7635154014728744
17,34.0,-0.30213842,-0.04700676,-0.2462415,485.05999999999995,66.12,16.659417514253956,2.9602525733815668,485.05999999999995,66.12,38.300000865269844,6.805620666204222
17,34.0,-0.30189848,-0.04721536,-0.24638818,463.03999999999996,230.01,16.82728059493183,2.978767419988877,463.03999999999996,230.01,38.68591808774827,6.848186298554426
17,34.0,-0.30383351,-0.04675791,-0.24728078,465.24,166.26999999999998,17.084085355107085,2.9975009430738684,465.24,166.26999999999998,39.27631223139119,6.891254668126823
17,35.0,-0.30546728,-0.00751553,-0.28306773,188.94000000000005,175.52999999999997,20.434259205718224,3.5669576248198496,533.89,204.45,46.978361913946195,8.200435579460834
17,35.0,-0.3029542,-0.01115491,-0.28162697,533.89,204.45,20.65284300179112,3.5954229768339836,533.89,204.45,47.48088606111778,8.265877423741326
17,35.0,-0.30121082,-0.01334263,-0.28159913,310.32,419.04999999999995,20.789318528926845,3.6190041567426814,533.89,204.45,47.79464329800282,8.320090556351424
17,35.0,-0.30150715,-0.01507233,-0.28314418,296.23,414.11,20.957522321128717,3.6481943119525173,533.89,204.45,48.18134381627492,8.387198723178837
17,35.0,-0.30177853,-0.01274813,-0.2842671,78.30000000000001,389.42999999999995,21.124984351361405,3.6723684341152456,533.89,204.45,48.56633902377987,8.442775030030948
17,36.0,-0.31609696,-0.05198627,-0.2509841,393.08000000000004,65.13,15.743207591335885,3.78620224387772,393.08000000000004,65.13,36.193634252481196,8.70447895867488
17,36.0,-0.3172757,-0.05193447,-0.2508108,410.82000000000005,52.79000000000002,15.942938830917903,3.807437641501706,410.82000000000005,52.79000000000002,36.652816372280256,8.753299137812423
17,36.0,-0.31781322,-0.05226043,-0.2500065,392.57000000000005,92.93,16.078988830055152,3.828884328536941,392.57000000000005,92.93,36.96559532029679,8.802605071306427
17,36.0,-0.31987628,-0.05152449,-0.25177941,396.36,100.32,16.15628264305637,3.8527316653401957,396.36,100.32,37.1432937963866,8.857430098617108
17,36.0,-0.31844011,-0.05126909,-0.25100681,403.36,124.92000000000002,16.201321007418077,3.872445297513474,403.36,124.92000000000002,37.24683699605416,8.902751738983477
17,37.0,-0.33288217,-0.04398868,-0.26630941,150.46000000000004,245.23000000000002,14.704428730050086,2.7121611775112777,358.57000000000005,228.24,33.80548165038515,6.235258547098429
17,37.0,-0.33518019,-0.04333114,-0.26969147,162.08000000000004,225.12,14.817553081740828,2.729670655205882,358.57000000000005,228.24,34.065554534922164,6.275512836318324
17,37.0,-0.33566421,-0.04199474,-0.27113423,199.86,247.64,14.907685056816101,2.7425299164453136,358.57000000000005,228.24,34.27276794562022,6.305076277907775
17,37.0,-0.33580288,-0.0409658,-0.27447665,200.24,246.26,15.001832324853128,2.760407955104694,358.57000000000005,228.24,34.48921251483734,6.346177888785693
17,37.0,-0.33634686,-0.03910897,-0.27724361,358.57000000000005,228.24,15.097147642344181,2.7785043721875473,358.57000000000005,228.24,34.70834242974927,6.387781551659172
17,38.0,-0.32237738,-0.04076957,-0.28347272,0.0,0.0,16.945103438637588,3.448386851052196,252.5,224.39,38.95679280542782,7.927841370568997
17,38.0,-0.32147807,-0.04113164,-0.28660402,252.5,224.39,16.962194557927255,3.472261518769116,252.5,224.39,38.996085288674756,7.9827292316501985
17,38.0,-0.32325041,-0.04010878,-0.28568006,342.78,231.3,17.044070881932072,3.4964154106890435,342.78,231.3,39.184318957561835,8.03825902917411
17,38.0,-0.3228209,-0.04208991,-0.28689036,408.07000000000005,223.49,17.004922667322816,3.5141936224262214,408.07000000000005,223.49,39.094317212175156,8.079131137957882
17,38.0,-0.32399678,-0.04202911,-0.28747365,440.75,213.81,17.123956944658097,3.5388933730098753,440.75,213.81,39.367977015768965,8.135915864549704
17,39.0,-0.32358497,-0.08030587,-0.27981371,265.88,176.18,13.126872821712594,2.4213594845582946,265.88,176.18,30.17868061711725,5.56670545499952
17,39.0,-0.33325171,-0.07890618,-0.30703607,320.84000000000003,155.99,13.320784957537354,2.435465506751873,320.84000000000003,155.99,30.624484617378375,5.599135200022555
17,39.0,-0.32996076,-0.07579842,-0.29182345,340.89,140.92000000000002,13.38210522496698,2.4471231291517324,340.89,140.92000000000002,30.765459912199084,5.625936073919831
17,39.0,-0.3279731,-0.07607557,-0.28564557,341.26,166.56,13.549035295958232,2.46151314261952,341.26,166.56,31.149232145407975,5.659018714882276
17,39.0,-0.32751295,-0.07482693,-0.28381294,336.38,179.63,13.629686473555022,2.473418376327033,336.38,179.63,31.334649202702995,5.686388847175849
17,40.0,-0.30392715,-0.02446451,-0.28114152,0.0,0.0,17.40904994348252,3.220267873476244,353.36,229.04000000000002,40.02340582006631,7.403395841121885
17,40.0,-0.30501911,-0.02230102,-0.28335798,353.36,229.04000000000002,17.53965410273724,3.239962257654195,353.36,229.04000000000002,40.323664782192914,7.448673230346994
17,40.0,-0.30319169,-0.02306945,-0.2862809,424.14,244.11,17.724387621740366,3.2687789194062074,424.14,244.11,40.7483671423811,7.514922735714869
