Participant,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
18,-0.31850344,-0.07866086,-0.24340816,365.36,-141.77,14.588248236629777,5.384497346701405,365.36,-141.77,32.06496962411225,11.835125168049688
18,-0.28829437,-0.18864731,-0.23654728,-428.37,-86.39999999999998,-14.869878589294338,4.323477143487083,-428.37,-86.39999999999998,-32.683993139268956,9.503002761384609
18,-0.29199728,-0.15688924,-0.24003947,-256.5,-116.9,-11.794789373385893,4.3251702599469315,-256.5,-116.9,-25.92494704270219,9.506724231363357
18,-0.25657609,-0.21212076,-0.23842488,-438.78999999999996,-158.05,-15.6316827648054,4.426136617282376,-438.78999999999996,-158.05,-34.35843871704227,9.72864828478666
18,-0.3590064,-0.14641145,-0.23189081,151.09000000000003,-162.89,7.138771113443879,3.801674426336806,,,15.691018907349646,8.3560803890883
18,-0.29228407,-0.19841737,-0.22548307,-131.07,-117.94,-7.500562948541072,2.9225406473575752,,,-16.486237360893277,6.4237443428919505
18,-0.32830957,-0.11536925,-0.21240655,315.34000000000003,-231.29,10.960427553378267,4.020266862277248,315.34000000000003,-231.29,24.09101976232543,8.83654656328539
18,-0.40647659,-0.1465801,-0.21455251,179.01,-182.94,7.076089057037229,2.5552933331616603,,,15.553243747367828,5.61653474628933
18,-0.36702123,-0.12059186,-0.21126133,246.10000000000002,-112.81,10.701254096916367,5.876102196122849,,,23.521356505022172,12.915672627078022
18,-0.38912711,-0.15078388,-0.21442145,88.70000000000005,-132.83,7.179127955053157,2.5484916957833432,,,15.779723245206839,5.601584747331789
18,-0.36085895,-0.10354627,-0.22126032,317.05999999999995,-218.19,10.781680247803509,4.043879547269762,317.05999999999995,-218.19,23.698133184672113,8.888447244898941
18,-0.37018234,-0.12620428,-0.21845157,56.83000000000004,-129.24,8.967501362446642,4.265775517924209,,,19.71056799465772,9.376174588397411
18,-0.37089896,-0.08505653,-0.21450509,421.98,-170.18,13.288354914286822,5.0062717593513435,421.98,-170.18,29.207804101602434,11.003785327054254
18,-0.34478319,-0.28701285,-0.23859055,-313.45,-148.84,-12.279616440908345,3.8730451388319302,-313.45,-148.84,-26.990596937116543,8.512953215152583
18,-0.24914944,-0.19801544,-0.22774889,-197.8,-179.27,-8.828420819922135,3.4984832366547747,,,-19.404868962188853,7.689666154167195
18,-0.36359626,-0.10781331,-0.22616431,296.19000000000005,-185.01,9.640315870079114,3.6230123918101707,296.19000000000005,-185.01,21.18941428243389,7.963381237198755
18,-0.23472422,-0.21574822,-0.23505293,-343.24,-170.81,-14.261170667796282,4.427293777308265,-343.24,-170.81,-31.346053127816226,9.731191722523565
18,-0.25137126,-0.24679385,-0.23172905,-360.23,-38.120000000000005,-12.44443587262036,3.954614576645323,-360.23,-38.120000000000005,-27.35287004801955,8.692242839466418
18,-0.32060972,-0.09093227,-0.22638039,347.57000000000005,-247.73,12.1869161201224,4.657203955919844,347.57000000000005,-247.73,26.786841632029034,10.236534295111815
18,-0.34507215,-0.10012944,-0.24175783,313.59000000000003,-248.66,10.812094165466576,4.0563078627799385,313.59000000000003,-248.66,23.76498297569553,8.915764682390304
18,-0.27904913,-0.23356624,-0.24947694,-58.75999999999999,-42.660000000000025,-11.80135900592327,3.7928048198078916,,,-25.93938709501935,8.336584993937745
18,-0.27746627,-0.21486515,-0.27331629,-287.86,-93.36000000000001,-13.17620755661639,4.20068061428523,-287.86,-93.36000000000001,-28.961304209442826,9.233095990198937
18,-0.3482137,-0.14043757,-0.23140568,66.22000000000003,-80.28,5.267709261279675,2.067280065209218,,,11.578424956292725,4.54388158332986
18,-0.35522175,-0.1284457,-0.22653858,187.34000000000003,-178.37,7.106577519281821,2.4566630034377606,,,15.620257387381441,5.399745281556197
18,-0.27075246,-0.23596631,-0.25380144,-231.01999999999998,-146.01,-9.30578925521993,3.1550739824473886,,,-20.454124782973405,6.934852613419359
18,-0.30959314,-0.23617822,-0.23621437,-164.63,-85.42000000000002,-6.518901545793349,2.2180904859913952,,,-14.32854559765378,4.875362888209088
18,-0.25749862,-0.21525046,-0.23025769,-176.3,-161.16000000000003,-6.9315061704313985,2.145742450802614,,,-15.235450562608214,4.716341906864146
18,-0.364822,-0.10320316,-0.22393037,210.36,-261.32,8.865739316723523,3.007917688461086,,,19.486895018158304,6.6114030792374665
18,-0.4017083,-0.16292921,-0.22472328,-57.27999999999997,-257.73,-9.978616808002691,3.1987433499752624,,,-21.932999743989914,7.030837883245628
