Participant,trigger_no,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
15,98.0,-0.24270548,0.28336051,-0.5516125,185.49,229.57999999999998,8.981730887258765,3.4524204510034457,537.99,-67.56,23.325555114211014,8.965935911255949
15,98.0,-0.31579587,0.2471817,-0.56774253,15.950000000000045,92.0,9.064279237720148,3.4733873880889816,537.99,-67.56,23.539933180359224,9.020387046867086
15,98.0,-0.37384349,0.22216456,-0.57519031,49.14999999999998,146.82,9.126195572435822,3.494623163599664,537.99,-67.56,23.70072990161583,9.075536355868326
15,98.0,-0.41137034,0.20447263,-0.58417881,52.629999999999995,158.48000000000002,9.168000806599997,3.516102327346604,537.99,-67.56,23.809298094740193,9.13131774411913
15,98.0,-0.44520822,0.18057394,-0.59534395,54.120000000000005,159.85000000000002,9.231871210141861,3.537836109070363,537.99,-67.56,23.975169532738413,9.187760375255731
15,98.0,-0.2393456,-0.12713927,-0.2018321,114.92999999999995,234.61,17.844523552016135,6.972677280115604,537.99,-67.56,46.3422276645859,18.108042896460226
15,98.0,-0.23976353,-0.13060656,-0.20385066,145.11,48.97999999999999,18.052417230157673,7.071986745789766,537.99,-67.56,46.882127546719474,18.36594957881602
15,98.0,-0.24095418,-0.12791525,-0.2052505,211.44000000000005,-50.34,18.226579740152996,7.194742466498758,537.99,-67.56,47.33442758517733,18.68474618549727
15,98.0,-0.24159911,-0.1268779,-0.20704719,537.99,-67.56,18.374531361273842,7.251782237494517,537.99,-67.56,47.718657945228166,18.832878470773263
15,98.0,-0.23835494,-0.12707791,-0.20301808,504.1199999999999,-73.62,18.52856093494182,7.356539070203937,504.1199999999999,-73.62,48.118672748043906,19.10493196531963
15,99.0,-0.19173461,-0.24034499,-0.21101564,21.129999999999995,-252.3,7.0752675106269525,2.143049661035775,,,18.374469725098194,5.565499969709908
15,99.0,-0.19373842,-0.2369135,-0.20617326,31.600000000000023,-265.38,7.112924259559597,2.153461321357185,,,18.472264302076276,5.59253905156461
15,99.0,-0.19275001,-0.22860311,-0.20570777,45.809999999999945,-263.1,7.180698943328344,2.1639686333398234,,,18.648275155823708,5.619826540783522
15,99.0,-0.19189371,-0.22289801,-0.20356968,62.72000000000003,-243.93,7.168435549973316,2.174579606960421,,,18.6164271232807,5.6473832392762136
15,99.0,-0.19065034,-0.22193736,-0.20327394,111.86000000000001,-216.84,7.258047785592382,2.185292340623674,,,18.849150099183415,5.675204208599682
15,100.0,-0.22105606,-0.16533138,-0.21188389,408.24,-100.25,13.24755201964708,3.7184522653725596,408.24,-100.25,34.403892595023464,9.656820533172539
15,100.0,-0.22411831,-0.16184731,-0.20601553,468.22,-95.82,13.29180485910284,3.750839637828194,468.22,-95.82,34.518817219090074,9.740930539439818
15,100.0,-0.22679789,-0.16043799,-0.20390016,485.13,-73.47,13.490016353694296,3.7836812136589195,485.13,-73.47,35.03357247054409,9.826220111872216
15,100.0,-0.22817259,-0.15763704,-0.20264037,475.30999999999995,-57.15,13.562091074312688,3.81396587623075,475.30999999999995,-57.15,35.22075051999005,9.904869380571256
15,100.0,-0.22785512,-0.1570667,-0.20332904,249.58000000000004,48.19,13.764496440420771,3.8446471793046983,475.30999999999995,-57.15,35.74639725577274,9.984548724654303
15,103.0,-0.23947825,-0.20518515,-0.19929205,-27.889999999999986,109.69,10.32405420029026,3.9771026947135706,,,26.811568758153804,10.328535698171144
15,103.0,-0.23973484,-0.20298107,-0.20009242,-1.490000000000009,136.07,10.511360496908214,4.009997881403595,,,27.298003210470632,10.413964498005136
15,103.0,-0.23954877,-0.20195527,-0.20270601,24.559999999999945,158.13,10.595004528530753,4.040058550256122,,,27.515226760594366,10.49203205501515
15,103.0,-0.24194299,-0.20043562,-0.20878237,181.02999999999997,283.83,10.660452648965878,4.077387516275975,,,27.685195529364385,10.588975379768705
15,103.0,-0.22882123,-0.20094776,-0.23639658,499.67999999999995,670.17,10.722089769563446,4.091133731238033,,,27.84526713155627,10.62467430002517
15,105.0,-0.19928554,-0.18785819,-0.21581176,392.28999999999996,-172.66,11.702689508288929,3.252590988939702,392.28999999999996,-172.66,30.39188465302635,8.446978798276406
15,105.0,-0.20029332,-0.18774079,-0.20516153,399.34000000000003,-184.28,11.792587890075191,3.2732374275448937,399.34000000000003,-184.28,30.62535075052527,8.500597599334089
15,105.0,-0.20008262,-0.18607421,-0.2001313,409.03,-195.12,11.939021432497313,3.2964403260110204,409.03,-195.12,31.005638660195523,8.56085552665062
15,105.0,-0.19921046,-0.18506883,-0.19805238,-61.85000000000002,-111.85,12.100420904586715,3.3222781598512086,409.03,-195.12,31.424793089211697,8.62795638113359
15,105.0,-0.20125081,-0.18639871,-0.20001882,-57.0,-79.23,12.170261352278715,3.343705756867408,409.03,-195.12,31.60616873186782,8.68360385058466
15,106.0,-0.18288289,-0.18045184,-0.23854831,322.65,-59.75999999999999,13.045074382655322,3.550822657915771,322.65,-59.75999999999999,33.878058171755875,9.221486442607258
15,106.0,-0.18371686,-0.17508723,-0.21430781,335.76,-67.59,13.235139030278086,3.577627798473493,335.76,-67.59,34.37165606163219,9.291099392635662
15,106.0,-0.19278975,-0.17064208,-0.20949702,379.30999999999995,-116.68,13.362344762316596,3.604768954814757,379.30999999999995,-116.68,34.7020093477362,9.361584975653923
15,106.0,-0.19495396,-0.16876842,-0.20712855,436.25,-137.24,13.558139876646393,3.632233486816065,436.25,-137.24,35.210489259650686,9.43291036526132
15,106.0,-0.1961301,-0.16634603,-0.2058233,458.55999999999995,-138.47,13.690919955773369,3.660080331251857,458.55999999999995,-138.47,35.55531912514344,9.505228620261072
15,107.0,-0.20020793,-0.17037398,-0.20615523,411.55999999999995,-128.89,12.722206702717914,4.217784712122404,411.55999999999995,-128.89,33.03957080695842,10.953586897381882
15,107.0,-0.20268235,-0.16770017,-0.20552221,436.26,-125.28999999999999,12.842573791346481,4.252554844858069,436.26,-125.28999999999999,33.35216413612681,11.043884932096404
15,107.0,-0.20769274,-0.16320243,-0.2058267,413.71000000000004,-140.38,12.899027949234604,4.287863907725101,413.71000000000004,-140.38,33.49877558416227,11.135582568362086
15,107.0,-0.21458475,-0.15820509,-0.20571209,382.36,-130.98,12.982290087265328,4.323801153120581,382.36,-130.98,33.71500735662806,11.228911594654148
15,107.0,-0.21785012,-0.15376174,-0.20454507,411.16999999999996,-98.69,13.042799633106396,4.36027678987349,411.16999999999996,-98.69,33.872150647177314,11.323638823301454
15,108.0,-0.19500694,-0.20236973,-0.23541234,296.37,-137.32,9.721215710817244,2.828081678838326,296.37,-137.32,25.24599720099238,7.344528119943133
15,108.0,-0.19869785,-0.19824219,-0.21363914,306.65,-131.82999999999998,9.726070158512217,2.8459496782224476,306.65,-131.82999999999998,25.258604201656226,7.390931314343694
15,108.0,-0.20203546,-0.19494627,-0.20817401,329.11,-121.08,9.711247489890876,2.8640535014341926,329.11,-121.08,25.220109731246605,7.437946943224599
15,108.0,-0.20223384,-0.18975179,-0.20554243,26.07000000000005,-7.610000000000014,9.783446706717662,2.8823694524499865,329.11,-121.08,25.407611097345768,7.485513468012616
15,108.0,-0.20052814,-0.18641965,-0.20574754,34.960000000000036,-6.099999999999994,9.8109702265858,2.900915344386195,329.11,-121.08,25.479089678443323,7.53367714937095
15,109.0,-0.17657188,-0.1819009,-0.19224405,-49.91999999999996,-46.77000000000001,13.47723766411234,4.105904144493197,,,35.00038621369975,10.663033063248832
15,109.0,-0.19048145,-0.17363511,-0.18989642,-49.360000000000014,-48.349999999999994,13.724796674488838,4.1450535056662385,,,35.64329696364751,10.764703954215221
15,109.0,-0.19293903,-0.16857468,-0.1901986,56.97000000000003,125.82,13.70577503151091,4.181278511550215,,,35.59389775683383,10.85878029449591
15,109.0,-0.19249506,-0.16649273,-0.18874361,61.539999999999964,123.85000000000002,13.888605795246752,4.214304805595991,,,36.068709250255814,10.944549580132788
15,109.0,-0.18304279,-0.16651841,-0.18914017,59.33000000000004,120.63999999999999,14.003728518404207,4.247806676502579,,,36.367682962295724,11.031553938877199
15,110.0,-0.22266847,-0.16575372,-0.24424502,324.02,-137.06,10.934364504916756,3.465893598918631,324.02,-137.06,28.396544619268816,9.000925676391683
15,110.0,-0.21415532,-0.16779602,-0.22481886,339.04999999999995,-141.39,10.995649385360025,3.489492645415637,339.04999999999995,-141.39,28.555701453779985,9.06221240014441
15,110.0,-0.20729889,-0.17053892,-0.21203578,282.24,-145.15,11.122364175509741,3.516109737398308,282.24,-145.15,28.884779763798797,9.131336988023406
15,110.0,-0.20111403,-0.17107257,-0.20802164,210.24,-132.5,11.186377052830975,3.5403574025158755,282.24,-145.15,29.051021206202044,9.194308174333727
15,110.0,-0.19775347,-0.16992652,-0.20637837,209.91999999999996,-134.05,11.272323988490008,3.5731799022538118,282.24,-145.15,29.274225398108552,9.27954820615315
15,111.0,-0.15958916,-0.29204211,-0.23125988,-321.14,-168.69,-11.565445947339036,3.8546037062119654,-321.14,-168.69,-30.035463125239477,10.010405825032475
15,111.0,-0.15324152,-0.29906011,-0.2238179,-310.53999999999996,-161.34,-11.69672511184736,3.884116822508539,-310.53999999999996,-161.34,-30.376395115467595,10.087051388054675
15,111.0,-0.14659861,-0.29480866,-0.22265393,-299.95,-157.44,-11.867202219624316,3.9110652379706865,-299.95,-157.44,-30.819124164364347,10.157036423009872
15,111.0,-0.14654492,-0.29346505,-0.22122248,-288.99,-108.66,-11.742258494798998,3.941433805729031,-288.99,-108.66,-30.494645310992997,10.235903593478294
15,111.0,-0.14602911,-0.29032668,-0.22214751,-278.55,-97.77000000000001,-11.936475165355525,3.9691344297919073,-278.55,-97.77000000000001,-30.9990260044283,10.307842114169583
15,112.0,-0.16772193,-0.19372106,-0.2240497,338.79999999999995,-120.53,9.504897240028503,3.0520142734834868,338.79999999999995,-120.53,24.684218132354022,7.926081068236616
15,112.0,-0.16543742,-0.19536152,-0.2115258,334.1,-104.65,9.586610660812353,3.0747236306669135,334.1,-104.65,24.89642788612968,7.985057268841974
15,112.0,-0.16245823,-0.19860658,-0.20400648,317.52,-189.32999999999998,9.662003063852094,3.0956616603566203,317.52,-189.32999999999998,25.092221956823888,8.039433331946142
15,112.0,-0.16369028,-0.19966362,-0.20390198,317.62,-187.41,9.859383619862678,3.1125972362115513,317.62,-187.41,25.604819260783373,8.083415022441399
15,112.0,-0.16296923,-0.19737391,-0.20341323,315.37,-188.96,9.800553786663523,3.134035398051129,315.37,-188.96,25.45203818396517,8.13908992873878
15,113.0,-0.18721715,-0.17739612,-0.24329901,313.99,-188.82999999999998,9.461781400643167,3.108373577216314,313.99,-188.82999999999998,24.572246297470304,8.072446180030767
15,113.0,-0.17574473,-0.18708101,-0.22505358,316.86,-192.9,9.445306611571874,3.1298210044229693,316.86,-192.9,24.529461270252156,8.128145148486452
15,113.0,-0.16312282,-0.18983679,-0.21709827,321.62,-196.87,9.520534361513478,3.151559427800331,321.62,-196.87,24.724827736850504,8.18459983399746
15,113.0,-0.16019779,-0.18948169,-0.21202455,64.37,39.389999999999986,9.636069619990321,3.169165731721622,321.62,-196.87,25.024872803114864,8.230323405281052
15,113.0,-0.16214864,-0.18578647,-0.21352018,70.46000000000004,39.860000000000014,9.59335105233045,3.191435418568596,321.62,-196.87,24.91393268290218,8.288157782022644
15,114.0,-0.17704883,-0.1852597,-0.24569726,352.15,-115.67,10.540125803702509,3.3734522001787415,352.15,-115.67,27.372706712215415,8.760855363864192
15,114.0,-0.16866907,-0.18637611,-0.22848539,355.28999999999996,-130.98,10.689543222132556,3.3934041580115712,355.28999999999996,-130.98,27.760743747878248,8.812670598356052
15,114.0,-0.17029426,-0.18520488,-0.22440712,360.87,-133.85,10.668649193615451,3.4237979734103297,360.87,-133.85,27.706481955819328,8.891603336946627
15,114.0,-0.16954391,-0.18397586,-0.22131936,359.07000000000005,-133.7,10.766153676016538,3.4468993297137764,359.07000000000005,-133.7,27.95970109661495,8.951597559266677
15,114.0,-0.17127216,-0.18620196,-0.22543472,-577.5,-188.25,10.872070732941552,3.4755375648730427,-577.5,-188.25,28.23476769344921,9.025971055975294
15,115.0,-0.15746386,-0.20150505,-0.2026318,292.53999999999996,-66.88,8.474290248935194,3.2907179901099837,292.53999999999996,-66.88,22.0077317764847,8.545994620315627
15,115.0,-0.16140583,-0.20001334,-0.20510715,329.46000000000004,-110.19,8.454007364173002,3.310497041182182,329.46000000000004,-110.19,21.955057124757285,8.597360815950125
15,115.0,-0.16432169,-0.19904864,-0.20640621,334.48,-116.12,8.55800404541403,3.330502334861191,334.48,-116.12,22.225136505940235,8.649314563634514
15,115.0,-0.1658195,-0.19882603,-0.20708004,335.16999999999996,-118.81,8.588044999649242,3.357541475583314,335.16999999999996,-118.81,22.303152864089082,8.719535212089866
15,115.0,-0.16746704,-0.19918208,-0.20666039,336.58000000000004,-118.46,8.748005117500417,3.378108329544585,336.58000000000004,-118.46,22.718569290148583,8.772947331827286
15,116.0,-0.12247103,-0.24018241,-0.24981596,-290.57,-223.13,-12.279230899315355,4.017578390622478,-290.57,-223.13,-31.889162645521974,10.433651080446573
15,116.0,-0.10870113,-0.25821307,-0.23945601,-290.48,-222.06,-12.42437809335433,4.049510318622322,-290.48,-222.06,-32.266109908441194,10.51657829746217
15,116.0,-0.1068459,-0.2674644,-0.23449494,-297.47,-223.63,-12.470822037391853,4.085546191931119,-297.47,-223.63,-32.38672483110664,10.610163460445115
15,116.0,-0.10998858,-0.26387757,-0.2333267,-303.04,-219.96,-12.624978565505618,4.125897291841064,-303.04,-219.96,-32.78706933461809,10.714955266911245
