Participant,horizontal_angle_finger_pointing_unscaled,eyegaze_horiz_angle_x,angle_center,Buidling_half_width,horizontal_angle_finger_pointing,eyegaze_horiz_angle_x_scaled_without_tablet,angle_center_scaled,Buidling_half_width_scaled
27,-21.0,23.456957570556373,9.367150709927952,1.7045739802464817,-11.13,,20.81380887745991,3.787563384107683
27,-24.0,52.4599221168489,10.739744603941457,1.7963098102366502,-12.72,19.410171183234095,23.863712509957917,3.991400398345837
27,41.0,20.91571029934589,19.46215764861771,3.330088958565444,21.73,7.738812810757979,43.24491429522855,7.399457665932417
27,32.0,-33.902513882861086,14.936187879812108,2.4754441500954236,16.96,-12.543930136658602,33.1882094689425,5.500436901512032
27,23.0,-5.888837067375555,14.309202674375172,2.2341328540014667,12.190000000000001,,31.79504834246163,4.964243201591259
27,-33.0,-36.68743186942963,-19.090005868371072,2.3781320847915115,-17.490000000000002,-13.574349791688963,-42.417993039520525,5.284209492406738
27,0.0,-20.956450198128145,-30.293430962962393,4.118239562558905,0.0,-7.753886573307414,-67.31200359970244,9.150728308005888
27,23.0,14.039891533169882,12.119833189483503,2.0963505332772847,12.190000000000001,,26.930269347032343,4.658090884942126
27,25.0,-36.446067186078125,13.182843452019364,2.2854196981811032,13.25,,29.292278150387027,5.078202569358414
27,0.0,32.7848570370232,14.643641267351168,2.6063966021616727,0.0,12.130397103698584,32.5381708960543,5.791413250003236
27,45.0,-0.05227005881497301,14.8282678543887,2.6329298039492324,23.85,,32.94841117245169,5.850370024375195
27,45.0,28.148964026536067,17.509506968168107,4.906030263726127,23.85,10.415116689818344,38.90612448326954,10.901199245999456
27,0.0,-22.990370427899155,20.865420359911408,5.9405497543560655,0.0,-8.506437058322687,46.362964039723146,13.199901554179176
27,20.0,21.817368813904235,11.662055743284544,1.9491978253090547,10.600000000000001,8.072426461144566,25.913087861578255,4.331117567836721
27,32.0,-27.268059800036603,13.20044675424652,2.2778886225599093,16.96,-10.089182126013544,29.331392687935768,5.061468519328118
27,0.0,0.0,18.989490664268484,3.4827368459621955,0.0,,42.19464825600457,7.7386412717279995
27,25.0,32.900927314685866,16.40823934179577,3.8372210164558274,13.25,12.173343106433771,36.459107817470205,8.52630509856485
27,35.0,25.64076988075269,14.175884111478625,2.552560124496547,18.55,9.487084855878495,31.498814495705506,5.671788596631329
27,-15.0,-6.028736342439169,15.789658200073523,2.7510441613513805,-7.95,,35.08462052056337,6.112820126522768
27,45.0,18.637350676881308,19.989822652433485,3.6329592855691484,23.85,,44.4173859337072,8.072435532534648
27,-1.0,49.98478109649265,-12.655527834216873,1.5891895087946892,-0.53,18.49436900570228,-28.12058284762989,3.5311790885417995
27,-16.0,-45.14057652808111,-13.054948572142463,1.6273356744480738,-8.48,-16.702013315390012,-29.008095727300553,3.61593986862362
27,-21.0,-33.823340117303104,-13.434921024533345,1.702601006503052,-11.13,-12.514635843402148,-29.852394516513094,3.7831794364497817
27,7.0,30.63256049758298,11.291788338930816,4.954882268767209,3.71,11.334047384105702,25.090353689104273,11.00974840120074
27,9.0,37.4937743943842,11.867340332227743,5.250683118699678,4.7700000000000005,13.872696525922153,26.369230218210046,11.667017889750687
27,25.0,14.417312104907435,15.279874148829727,5.3297707918017085,13.25,,33.951880358699654,11.842750699383394
27,-21.0,10.202654274282173,23.030591319690842,7.910896415806725,-11.13,,51.17397391235305,17.578011835922545
27,-39.0,-24.243314484787568,-16.985936064691884,4.868819628323037,-20.67,-8.970026359371401,-37.742749935745366,10.818517214133792
27,-29.0,4.311511174900078,-12.361794134545448,4.61753610257384,-15.370000000000001,,-27.467906566959986,10.260165219919072
27,-34.0,-11.97368685530727,-17.806276542459706,5.329223467540022,-18.02,,-39.565546477345464,11.841534544873927
27,18.0,4.363012556379538,8.973329530087208,4.242242386483631,9.540000000000001,,19.938738215853775,9.426262582766629
27,0.0,0.8071112022900837,-16.911271359583957,6.112532660545723,0.0,,-37.57684496099555,13.582047571732595
27,20.0,28.18662921597627,13.389358067221494,6.774339492066394,10.600000000000001,10.429052809911221,29.751153625366157,15.052582351371527
27,11.0,22.91580872635426,8.791707041823862,3.0350072039232616,5.83,8.478849228751077,19.535173046932623,6.743786007117487
27,20.0,30.117546682788348,13.531220593652275,5.033576932973975,10.600000000000001,11.143492272631688,30.066372159095355,11.184607945068171
27,13.0,19.5520767061434,16.426930409625946,5.608504214851171,6.890000000000001,7.234268381273058,36.50063937018885,12.4620963653993
27,-15.0,-9.023503241603134,-9.147705022449932,3.8182885879837145,-7.95,,-20.32620055988375,8.484237242499812
27,18.0,20.69509990405326,8.072991107544402,3.611065210167966,9.540000000000001,7.657186964499707,17.93818624096366,8.023786896993219
27,-15.0,-36.449141895420176,-12.952913104667857,4.394903159945939,-7.95,-13.486182501305466,-28.78137291857198,9.765474821399875
27,32.0,13.893074162086641,14.435213146781118,5.21277987838711,16.96,,32.075043612147645,11.582796889776159
27,-24.0,28.642454875936288,-11.822958164502557,3.801378290996132,-12.72,10.597708304096427,-26.270613041524683,8.446662562593405
27,-33.0,-1.654193626026913,-14.557374476866679,4.477522801653375,-17.490000000000002,,-32.34648608759776,9.9490556652738
27,11.0,6.181703132206524,6.022188921914175,2.1798803314287474,5.83,,13.381303784493296,4.8436940964346755
27,18.0,10.037388647146589,8.24515650391554,2.5917811472635557,9.540000000000001,,18.32073775170033,5.758937709219621
27,-16.0,-22.47843132244659,-9.326796643464691,2.914728542881432,-8.48,-8.317019589305238,-20.724142141778543,6.476526822282542
27,-15.0,12.40107145385326,-9.474743842747468,3.0214119297353843,-7.95,,-21.052880818584875,6.713577307872025
27,-15.0,-25.430920968157267,-7.408442663461945,1.9702354647682112,-7.95,-9.409440758218189,-16.461559598212443,4.377863202714966
27,-16.0,7.011874654562043,-7.077143755010788,2.1875024995542462,-8.48,,-15.72541342363397,4.860630554009535
27,32.0,19.73194720265376,7.8163771042941255,2.7420867521691417,16.96,7.300820464981891,17.367989925741547,6.092916763319834
27,32.0,12.796940281643158,9.314258587181778,3.054635067310406,16.96,,20.69628258071791,6.787399119563722
27,32.0,19.747320749364043,9.665440783287309,3.6240732330403156,16.96,7.306508677264696,21.4766094204644,8.05269072381558
27,41.0,5.250834878898626,14.22788834005984,4.565474566459477,21.73,,31.614367891612964,10.144484486672956
27,20.0,2.3052633292075826,7.810335800542534,2.6524055453410416,10.600000000000001,,17.35456614880551,5.893645121747795
27,25.0,21.32695267384607,11.589155483071407,4.13481794409692,13.25,7.890972489323046,25.751103483384664,9.187565471783355
27,-45.0,-44.20740224276667,11.030749312888858,4.96046461391457,-23.85,-16.356738829823666,24.510324973239044,11.022152372118175
27,6.0,-22.540694186623256,6.641017606325953,2.4106951462904935,3.18,-8.340056849050605,14.756341121256266,5.356564615057477
27,0.0,-5.345382191166895,-7.125698208225776,2.169505269305078,0.0,,-15.833301418677674,4.820640708395883
27,-18.0,-12.510223635496297,-7.545838648502804,2.259114899128453,-9.540000000000001,,-16.766853476973232,5.019753305863422
27,32.0,21.381528764667586,12.65557769320013,4.811523114592127,16.96,7.911165642927006,28.12069363429069,10.691204360623706
27,-15.0,-6.583721378680538,-11.89373512310656,5.320210376186241,-7.95,,-26.427879443542775,11.821507455885826
27,27.0,58.876071836387304,11.82803844832668,4.068063081047639,14.31,,26.281901432181883,9.039236166087855
27,13.0,8.949710217393752,9.813254746493834,3.7914581202773205,6.890000000000001,,21.8050520467093,8.424619943256207
27,-5.0,20.93108384605617,6.270071329893269,1.918549463112459,-2.6500000000000004,7.744501023040782,13.932098495022844,4.263016907035884
27,-15.0,0.0,-9.03112802722133,2.7619534339401164,-7.95,,-20.067166476485795,6.1370605302149395
27,1.0,43.76925616152349,7.999125453266063,2.419280484323511,0.53,16.19462477976369,17.774056757157194,5.3756412361668415
27,-34.0,-4.68585703729557,-19.72884519637234,6.3475225740528165,-18.02,,-43.83749402633934,14.104195159545357
27,18.0,30.305103952653855,9.99298908474396,2.880064489547514,9.540000000000001,11.212888462481926,22.20442174630108,6.3995032957745766
27,32.0,48.67418623944065,13.333527278613435,3.5984393040450398,16.96,18.00944890859304,29.62709761307905,7.9957321335880795
27,25.0,27.250380221319766,11.872984959294557,3.6698720972554435,13.25,10.082640681888313,26.381772579552507,8.154455800101594
27,18.0,14.561054766648622,9.466794664550163,2.6646416332781606,9.540000000000001,,21.03521774463046,5.920833709144073
27,45.0,22.532238735932594,15.989360966057506,4.813616391590679,23.85,8.33692833229506,35.52836006657978,10.69585562211449
27,18.0,-3.8380059362232273,11.250023313420867,3.5717343844501066,9.540000000000001,,24.997551802421164,7.936393802248137
27,15.0,12.143564546455947,9.23880673802317,2.972287577169352,7.95,,20.528628571887484,6.6044229964703005
27,15.0,19.739633976008903,9.89880347647636,3.2586001127990203,7.95,7.303664571123294,21.995141324730472,7.240609450639423
27,9.0,35.298431924155174,9.627472857958573,3.1145442809981643,4.7700000000000005,13.060419811937415,21.392244690383947,6.92051739237792
27,13.0,-16.046139378862378,6.9968793915049945,2.7311741952539084,6.890000000000001,,15.547066007924098,6.068669061854186
27,-26.0,-9.94822207622692,-11.894884103351117,3.8898021246130057,-13.780000000000001,,-26.430432477646182,8.643140320890097
27,11.0,32.94166721346812,10.381960492424499,3.164662242877047,5.83,12.188416868983206,23.068716214167235,7.031879503672798
27,23.0,-46.94696826653987,12.666420646360418,4.5797836352937775,12.190000000000001,-17.370378258619752,28.14478667621285,10.176279237622774
27,-45.0,20.930315168720654,-27.71601057244652,9.282118733084534,-23.85,7.744216612426642,-61.58497549197617,20.624867824913835
27,11.0,6.694410914994611,9.711991755457808,1.4696700714279203,5.83,,21.580045680627247,3.2656068987128375
27,15.0,24.020398057488407,12.837509739161684,1.9976312393533542,7.95,8.887547281270711,28.524946640417262,4.438736613843153
27,23.0,-8.864387033151662,15.894856232230381,2.400759750961811,12.190000000000001,,35.318370548015906,5.3344881666371435
27,22.0,11.377193242948122,11.170723259019795,1.6747421253780086,11.66,,24.821347081541983,3.721277002589934
27,15.0,8.216392039313051,12.368872248902449,1.4677273367891814,7.95,,27.48363413706124,3.26129014234556
27,18.0,31.597250553653502,13.68867046671319,2.100191294330453,9.540000000000001,11.690982704851796,30.41622577703671,4.666625056002266
