Participant,trigger_no,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
30,98.0,-0.28759456,-0.20124906,-0.32747179,188.29999999999995,5.639999999999986,13.780550789666407,5.4023989851928675,,,31.323191944911745,12.279652893343389
30,98.0,-0.30493006,-0.21487294,-0.36972341,182.17999999999995,9.379999999999995,13.987195951548081,5.455643550579297,,,31.79289639786879,12.400677790466743
30,98.0,-0.30848157,-0.22908339,-0.40770802,176.32000000000005,5.050000000000011,14.13810650865479,5.522045088526542,,,32.13591609417234,12.551608486220829
30,99.0,-0.23935194,-0.22189236,-0.2640771,89.51999999999998,-22.909999999999997,6.7132958622087475,2.046108048490226,,,15.259321494800483,4.650803594218284
30,99.0,-0.23871981,-0.22223508,-0.26543507,92.38,-23.830000000000013,6.747378506140421,2.0556180455755038,,,15.336791344457177,4.672419817593119
30,99.0,-0.24044108,-0.22177009,-0.26493764,92.28999999999996,-22.400000000000006,6.781634261820293,2.0652177222540953,,,15.414654677117527,4.694239882683559
30,100.0,-0.1792102,-0.23126096,-0.28432536,160.95000000000005,-63.870000000000005,9.221979959129952,2.7641852755111116,,,20.961560447102382,6.282993131236758
30,100.0,-0.1785619,-0.22812267,-0.27981031,165.19000000000005,-63.5,9.369775592369356,2.781201957939212,,,21.297499921455547,6.321672050395829
30,100.0,-0.1722756,-0.22863612,-0.27590537,171.21000000000004,-60.16999999999999,9.49786796879171,2.80015688197038,,,21.588653893063558,6.364756592718675
30,102.0,-0.1737428,-0.22820467,-0.2968567,186.78999999999996,-54.78,9.551157826817871,2.8211457074218353,,,21.709781740357023,6.412464192969833
30,102.0,-0.16823666,-0.2286229,-0.29330814,193.92999999999995,-66.47999999999999,9.685938797282176,2.8388414839382885,,,22.01613888622239,6.452686692991731
30,102.0,-0.16416572,-0.22700627,-0.29115239,190.10000000000002,-71.56,9.669188428673829,2.8567555544698444,,,21.978065298375615,6.4934053753099565
30,102.0,-0.24424596,-0.25782296,-0.40007693,437.30999999999995,605.75,11.60305487277931,3.311772005686488,,,26.373743725827374,7.527657768925387
30,102.0,-0.27277324,-0.25856099,-0.43523404,495.1400000000001,603.13,11.703768248507677,3.335608109109643,,,26.60266522885795,7.581837232006221
30,102.0,-0.29280829,-0.26458675,-0.46463057,495.8299999999999,606.08,11.872627592689094,3.359720515582615,,,26.986482518182314,7.636644731919283
30,103.0,-0.20554967,-0.22874045,-0.27073038,120.19000000000005,-72.13,9.574127843304607,3.6447604723193243,,,21.761992587831372,8.284540553581826
30,103.0,-0.20600981,-0.22536843,-0.26868138,123.88,-70.02000000000001,9.709675475026929,3.6725074064491223,,,22.07009235473621,8.347609334858856
30,103.0,-0.208748,-0.22613926,-0.27029601,126.37,-65.77000000000001,9.912080635055526,3.7006758141039513,,,22.53015928348121,8.411636125458282
30,104.0,-0.15411878,-0.32274339,-0.29384509,-544.36,-183.86,-20.69698222276022,6.651673861861778,-544.36,-183.86,-47.044240592333985,15.119254688011821
30,104.0,-0.15373784,-0.32087991,-0.29618993,-651.89,-200.69,-21.042098140246242,6.7503922096010704,-651.89,-200.69,-47.82868907277971,15.343641492423234
30,104.0,-0.15468168,-0.31847641,-0.29548436,-665.91,-211.91,-21.411308127923956,6.842287906242956,-665.91,-211.91,-48.66790337477116,15.552520410890242
30,107.0,-0.26287362,-0.24924822,-0.3673397,323.04999999999995,-133.46,11.685451323360633,3.460529649477472,323.04999999999995,-133.46,26.56103085799872,7.865783893262293
30,107.0,-0.23271284,-0.23344611,-0.31252757,337.20000000000005,-129.17,11.773750431509365,3.48407826619665,337.20000000000005,-129.17,26.761734730820788,7.919309899064986
30,107.0,-0.21898589,-0.22567643,-0.29123867,346.98,-125.36000000000001,11.775797560241147,3.507945684018769,346.98,-125.36000000000001,26.766387854428128,7.973560539774663
30,107.0,-0.21733958,-0.25984427,-0.30384079,242.26999999999998,-5.759999999999991,12.17347429119584,3.9399145284027375,346.98,-125.36000000000001,27.670307063888146,8.955425723059424
30,107.0,-0.21832627,-0.27604455,-0.3247104,236.16999999999996,-76.97,12.193147408702936,3.9704383459667723,346.98,-125.36000000000001,27.715024059981776,9.024806360382474
30,107.0,-0.22683372,-0.29059383,-0.34733126,314.85,-117.55000000000001,12.321904460445447,4.001389191172591,314.85,-117.55000000000001,28.007688838592504,9.0951576315353
30,108.0,-0.25173461,-0.26456752,-0.37528756,224.72000000000003,-177.12,7.90562885285787,2.4801226194316404,,,17.96949438254594,5.637318713968119
30,108.0,-0.22053258,-0.25706419,-0.32919466,229.45000000000005,-173.97,7.8026037168858915,2.494136529703721,,,17.735318248481633,5.669172332016557
30,108.0,-0.20240925,-0.25077885,-0.30439606,0.0,0.0,7.699614718328292,2.508341523227162,,,17.50122425476021,5.70146028229534
30,110.0,-0.26848552,-0.2163258,-0.3049939,212.69000000000005,-83.39,11.311182243625934,3.50914494540793,,,25.71031723976175,7.9762864609122275
30,110.0,-0.26021561,-0.20436829,-0.28374371,215.14999999999998,-98.96,11.326664956728148,3.5359243234230475,,,25.745509446643084,8.037155987140588
30,110.0,-0.25803033,-0.19973253,-0.27791506,216.10000000000002,-110.03,11.573595824640424,3.5603059511034267,,,26.306783309407685,8.092575426858089
30,110.0,-0.24287827,-0.19501644,-0.27261582,67.35000000000002,-111.16,11.789162864837053,3.705294048692737,,,26.796767191774624,8.422133372678589
30,110.0,-0.24150841,-0.1943474,-0.27234349,70.0,-125.68,12.090665258593619,3.734887358842922,,,27.482082132783297,8.489398966649961
30,110.0,-0.23937117,-0.19251496,-0.27054757,70.64999999999998,-131.51,12.120565912988594,3.761934384782414,,,27.550046320223075,8.55087685661043
30,111.0,-0.19169907,-0.30222672,-0.27996519,-303.68,-205.97,-10.371925590816117,3.4519331733650054,-303.68,-205.97,-23.575386867925037,7.846244103058657
30,111.0,-0.19503106,-0.30273959,-0.28273618,-265.05,-146.13,-10.305982824505238,3.473411346790471,-265.05,-146.13,-23.425498960100406,7.895063991254743
30,111.0,-0.19620012,-0.30505097,-0.27847376,-268.36,-149.97,-10.444878533454132,3.497584661305229,-268.36,-149.97,-23.741208906541242,7.950009935146788
30,112.0,-0.25783798,-0.23986171,-0.35356554,227.69000000000005,-196.51999999999998,8.027279843596165,2.557722663413352,-465.0,-317.0,18.246007084494085,5.813703613938549
30,112.0,-0.23694685,-0.23577616,-0.32791388,225.28999999999996,-211.5,7.93525706833731,2.575364008010444,-465.0,-317.0,18.036839316330706,5.85380239020774
30,112.0,-0.21672706,-0.23165911,-0.31001306,220.48000000000002,-229.75,7.970293257685488,2.588744269528441,-465.0,-317.0,18.116476574719115,5.884215724638147
