Participant,trigger_no,horizontal_angle_finger_pointing_unscaled,eyegaze_horiz_angle_x,angle_center,Buidling_half_width,horizontal_angle_finger_pointing,eyegaze_horiz_angle_x_scaled_without_tablet,angle_center_scaled,Buidling_half_width_scaled
53,49.0,18.0,20.615924456703397,8.49010017507318,3.7792711809588218,9.72,10.307962228351698,16.326462636665728,7.267538480983815
53,49.0,18.0,20.775259129118567,8.537363185184994,3.8020783096889073,9.72,10.387629564559283,16.417349405110745,7.3113965895317685
53,49.0,18.0,21.176264094144305,8.667477617568386,3.825475788881341,9.72,10.588132047072152,16.667559458584005,7.356389942018819
53,49.0,32.0,25.855671841916116,49.27383211595475,20.76126426223857,17.28,12.927835920958058,94.75357915898098,39.923911176284776
53,49.0,32.0,29.41135084739148,50.8294787347689,21.288866622649483,17.28,14.70567542369574,97.7450876069606,40.93849051535495
53,49.0,32.0,29.62786303383123,52.41991241203414,21.846584461079733,17.28,14.813931516915614,100.80349156834164,42.010981918656334
53,51.0,-16.0,-20.659379367362085,-74.2864391097224,37.95553984248093,-8.64,-10.329689683681043,-142.85282240799617,72.98850311709083
53,51.0,-16.0,-21.110700544729447,-76.22663110702727,38.68858781134661,-8.64,-10.555350272364723,-146.58381161881346,74.39815436121953
53,51.0,-16.0,-21.578031426023706,-78.24244797778996,39.45118858847344,-8.64,-10.789015713011853,-150.46022746129012,75.86463565563443
53,52.0,-29.0,-30.47485260824871,-52.686272840992174,16.42710821420823,-15.66,-15.237426304124355,-101.31570267322796,31.589329095922423
53,52.0,-29.0,-30.956668459762525,-54.086054422311925,16.970923456438864,-15.66,-15.478334229881263,-104.00748265410583,32.63508580673194
53,52.0,-29.0,-31.639749160642864,-55.577662601330495,17.515078417840435,-15.66,-15.819874580321432,-106.87584518235855,33.681495797507154
53,54.0,-14.0,-7.5169371770984235,15.655422899028475,8.228129551147475,-7.5600000000000005,,30.105378234831758,15.822693126856596
53,54.0,-14.0,-8.804574792932016,15.893522373017449,8.318017036955428,-7.5600000000000005,,30.563243523312554,15.99554676206529
53,54.0,-14.0,-9.48231892583673,16.064812497999128,8.409857929042373,-7.5600000000000005,,30.892634433652322,16.17215679754848
53,55.0,20.0,22.14904419941586,-15.965085859489493,5.65358559920723,10.8,11.07452209970793,-30.700860107798295,10.871845107275503
53,55.0,20.0,22.40367472853867,-16.129807661808808,5.702522198905323,10.8,11.201837364269336,-31.01762013365834,10.965950188494936
