Participant,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
62,-0.36895755,-0.07564241,-0.2443659,458.31999999999994,-34.389999999999986,15.349078183238625,6.962420753661338,458.31999999999994,-34.389999999999986,34.489378677737186,15.644559433477024
62,-0.37455985,-0.0710979,-0.22304909,517.25,-38.41,15.536059886309623,5.7467563766357985,517.25,-38.41,34.90952656453772,12.912961578300637
62,-0.37189895,-0.13875294,-0.24003743,160.63,-77.47999999999999,8.306210901447317,4.552840341255114,,,18.66405589555212,10.23023224680024
62,-0.36474565,-0.26821053,-0.23242153,-178.89999999999998,-54.52999999999997,-9.216666324610493,3.5349567524863486,,,-20.709849231399776,7.943047822836825
62,-0.36069572,-0.10208692,-0.23789144,333.03,-92.69,12.50473189021602,4.531628854181852,333.03,-92.69,28.098132557315395,10.18257003534662
62,-0.35044149,-0.09149846,-0.22333381,-922.31,-80.75,13.126317483400982,4.7691950256738975,-922.31,-80.75,29.494835385202006,10.716381222689249
62,-0.34953392,-0.11424648,-0.21169667,591.4300000000001,111.29000000000002,12.39075151700792,6.763811885301014,591.4300000000001,111.29000000000002,27.842018658716796,15.198285306271377
62,-0.35119069,-0.09751103,-0.22578469,514.77,456.63,13.473784172537187,4.871805945171324,,,30.275593035691056,10.946947958799964
62,-0.35448521,-0.11080598,-0.21533979,231.0,-73.4,12.172257114193648,4.412846497798807,,,27.351061735593127,9.915666080553919
62,-0.35662913,-0.12962557,-0.2196974,349.0899999999999,-53.56999999999999,10.15553906442025,4.456198028068034,349.0899999999999,-53.56999999999999,22.8194962777523,10.01307696906887
62,-0.3813501,-0.13125752,-0.29110837,-54.98000000000002,-49.379999999999995,11.932085002908169,4.605876097902966,,,26.811395001534652,10.349403591987965
62,-0.33966908,-0.14389427,-0.20992011,-261.1,-76.47000000000003,9.109152216238227,3.3627564009794897,-261.1,-76.47000000000003,20.468265029887295,7.556113633000913
62,-0.37534642,-0.22245888,-0.26471695,-210.14,-72.41000000000003,-11.995687039080936,3.953008922239189,,,-26.954308776814862,8.882411048271457
62,-0.35399684,-0.11013467,-0.24561466,290.3699999999999,-95.31,12.667014502960805,4.792982730740318,290.3699999999999,-95.31,28.46278158815293,10.769832195973496
62,-0.35215458,-0.11632437,-0.22414461,268.74,-98.38,11.266025469949135,4.1078186609266005,268.74,-98.38,25.314759230975703,9.230268531102068
62,-0.36032856,-0.14561251,-0.22286876,248.34000000000003,-72.83999999999997,6.436366736744616,2.190322685569927,,,14.462516057465152,4.921655074475625
62,-0.34168744,-0.13943282,-0.22736964,268.84000000000003,-67.23000000000002,7.277590554504651,2.4849144745523124,268.84000000000003,-67.23000000000002,16.35274597597195,5.583602824319045
62,-0.35572204,-0.27063078,-0.26444229,-115.04999999999995,-68.86000000000001,-7.967552112930825,2.689591928077049,,,-17.903089597755564,6.043513062389129
62,-0.3533878,-0.25781062,-0.23141342,-96.75999999999999,-82.44,-5.944432091256073,1.9450456379729824,,,-13.357138909052395,4.370517548525292
