Participant,trigger_no,fzd_hands0_state,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
59,73.0,1,-0.4221347,-0.11371753,-0.25166824,168.89999999999998,72.13,3.5509528185684367,1.80767995751149,,,3.075125140880266,1.5654508432049505
59,73.0,1,-0.44083625,-0.12102377,-0.21653764,156.54999999999995,46.60000000000002,3.581309517582793,1.8107927523351859,,,3.1014140422266987,1.5681465235222711
59,73.0,1,-0.40998742,-0.08604532,-0.33942634,211.53999999999996,67.79000000000002,10.140886619455728,3.49294740211939,,,8.78200781244866,3.0248924502353915
59,73.0,1,-0.42616233,-0.07958656,-0.28310472,194.64999999999998,60.45999999999998,10.21760726179305,3.5174774474225865,,,8.848447888712782,3.04613546946796
59,73.0,1,-0.43347213,-0.07205351,-0.23526603,175.98000000000002,39.829999999999984,10.295728644304381,3.5423418993672207,,,8.916101005967594,3.0676680848520133
59,73.0,1,-0.42727712,-0.0679604,-0.20475021,230.55999999999995,40.45999999999998,10.278734316805568,3.5548990389380406,,,8.901383918353622,3.078542567720343
59,73.0,1,-0.41598269,-0.07228979,-0.18972003,232.02999999999997,26.04000000000002,10.35840640050312,3.580272700382349,,,8.9703799428357,3.1005161585311147
59,73.0,1,-0.42262045,-0.09629771,-0.18847178,245.23000000000002,-0.9300000000000068,10.861738740646317,3.7401609925792703,,,9.40626574939971,3.2389794195736474
59,73.0,1,-0.42128754,-0.09569366,-0.18835804,200.26999999999998,20.920000000000016,10.90977999774278,3.7681669574430123,,,9.447869478045247,3.263232585145649
59,73.0,1,-0.42744046,-0.09773414,-0.19028132,215.66999999999996,48.139999999999986,10.99945856412613,3.79655322947639,,,9.525531116533228,3.2878150967265536
59,73.0,1,-0.42124835,-0.10340887,-0.20819452,222.01,94.89999999999998,11.09060617221479,3.8253490716049177,,,9.604464945138007,3.312752296009859
59,74.0,1,-0.43528366,-0.29563981,-0.25207365,-176.82999999999998,1.3100000000000023,15.452510935233457,4.770550416709413,,,13.381874469912173,4.131296660870351
59,75.0,1,-0.41246387,-0.17553192,-0.28060853,-178.8,-45.95999999999998,-17.45562744823689,5.4376843782983775,,,-15.116573370173146,4.709034671606394
59,75.0,1,-0.45141596,-0.26616946,-0.22367072,-126.97000000000003,-24.100000000000023,-18.01200281202369,5.608845180243937,,,-15.598394435212517,4.857259926091249
59,75.0,1,-0.44641629,-0.26424235,-0.20558494,-130.94,-37.110000000000014,-18.219508570858995,5.668032126699935,,,-15.778094422363889,4.908515821722144
