Participant,trigger_no,fzd_hands0_state,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
28,49.0,1,-0.37718192,-0.11836737,-0.42005783,165.73000000000002,-39.78999999999999,25.91045872862327,11.038958155185895,,,47.1052139686371,20.068825926127957
28,49.0,1,-0.38699245,-0.11649467,-0.43531209,27.399999999999977,-27.75999999999999,40.26302860182393,16.564246583287456,,,73.19818599811592,30.11380028841659
28,49.0,1,-0.38318598,-0.11627146,-0.43380496,916.03,267.22,46.4460866854471,19.44367564158802,916.03,267.22,84.43898559414284,35.348602316407025
28,49.0,1,-0.38353285,-0.11454155,-0.43429282,924.4100000000001,259.70000000000005,47.863539243881476,19.977469802899336,924.4100000000001,259.70000000000005,87.01591434537653,36.31904010167099
28,49.0,1,-0.40952933,-0.12151846,-0.46092877,990.23,306.17999999999995,55.27027258180073,22.432447709594538,,,100.48135555371374,40.782189936042876
28,49.0,1,-0.38782477,-0.11542533,-0.4440724,64.77999999999997,-62.70999999999998,61.553482582597155,23.587333710950247,,,111.90423133516163,42.88177268650755
28,49.0,1,-0.38221651,-0.11622737,-0.43466482,35.64999999999998,-39.06999999999999,65.25780085645718,38.29487448105669,,,118.63868195703915,69.62008180656106
28,49.0,1,-0.38233534,-0.11520916,-0.43396512,38.51999999999998,-41.24000000000001,67.38350479812658,39.126050623116626,,,122.50321172299412,71.13116003282603
28,50.0,1,-0.39343014,-0.11959707,-0.44770202,595.56,-111.34,13.189058266828631,4.830690032869841,595.56,-111.34,23.977707929094453,8.782194479757372
28,50.0,1,-0.39159757,-0.11519299,-0.45055822,388.32000000000005,-94.1,13.65751404467911,4.995164303283671,388.32000000000005,-94.1,24.829360533226623,9.081208703369713
28,50.0,1,-0.38645303,-0.11610713,-0.44104928,396.49,-92.44999999999999,13.76279762447928,5.044099910211451,396.49,-92.44999999999999,25.020766081303332,9.170173636764417
28,50.0,1,-0.40174544,-0.1188238,-0.45794612,-335.61,-115.19,15.662700332630004,5.65348102600698,-335.61,-115.19,28.47478920472135,10.27802850528069
28,50.0,1,-0.3953259,-0.11730254,-0.45184341,-106.69999999999999,-186.87,15.803473418957397,5.715029955905608,,,28.730714675664547,10.389924459836395
28,50.0,1,-0.41330415,-0.12208639,-0.47314662,184.07000000000005,82.42000000000002,16.37444093979436,5.907212285776533,,,29.76873362854615,10.739311935541737
28,50.0,1,-0.39679724,-0.11830252,-0.45026761,257.35,64.45999999999998,16.81891811267276,6.041946623578692,257.35,64.45999999999998,30.576793128839075,10.984258961666061
28,50.0,1,-0.39862227,-0.11734089,-0.44913766,456.77,423.78,16.98715144592949,6.111359755028311,,,30.882641328699815,11.11045203464147
28,50.0,1,-0.39461929,-0.11810628,-0.44834781,540.1800000000001,656.65,17.85280504833472,6.396385240269049,,,32.456399577872524,11.62862836680913
28,50.0,1,-0.40643224,-0.12085021,-0.45859694,458.70000000000005,670.35,18.15349862078257,6.481093383040479,,,33.00306049258271,11.78262777036759
