Participant,trigger_no,horizontal_angle_finger_pointing_unscaled,eyegaze_horiz_angle_x,angle_center,Buidling_half_width,horizontal_angle_finger_pointing,eyegaze_horiz_angle_x_scaled_without_tablet,angle_center_scaled,Buidling_half_width_scaled
40,97.0,45.0,20.917384788626002,14.534426615389794,4.881923758896057,29.25,10.667866242199262,25.057351484932006,8.4164365603368
40,97.0,45.0,12.817660029268223,14.66566457579502,4.929474242929601,29.25,10.667866242199262,25.283605728670615,8.49841359481063
40,97.0,45.0,8.718840786156363,14.795273078652007,4.969724051078663,29.25,10.667866242199262,25.50705078759606,8.567804264059614
40,97.0,45.0,5.907963642589027,14.92503850216863,5.01593810442018,29.25,10.667866242199262,25.730766377738718,8.64747729202039
40,97.0,45.0,-1.7812766464460768,15.123210644313126,5.0634947085642725,29.25,10.667866242199262,26.072415150795827,8.729464877564807
40,97.0,45.0,-4.517588721092423,15.34219766466598,5.1169582919698815,29.25,10.667866242199262,26.44994877388415,8.821636095356075
40,97.0,45.0,-7.034724684061889,15.47866126928193,5.161467437462647,29.25,10.667866242199262,26.68521202824205,8.898369862185604
40,98.0,-45.0,45.60520124410573,13.763474420527869,5.374744586136448,-29.25,23.258652634493924,23.728229900990044,9.266059666499237
40,98.0,-45.0,39.27168948090696,13.906638362563617,5.433379303455903,-29.25,20.028561635262548,23.975044537059677,9.367145919157974
40,98.0,-45.0,24.224609209152312,13.986860692961146,5.493223577668701,-29.25,20.028561635262548,24.113347834665017,9.470317447900841
40,98.0,-45.0,25.23086104832862,14.218843126846243,5.548125416475732,-29.25,20.028561635262548,24.513285550682923,9.564968218004164
40,98.0,-45.0,25.45530943760597,14.288467523935072,5.610370598100517,-29.25,20.028561635262548,24.633318011264063,9.67227891112529
40,98.0,-45.0,28.09596733292941,14.50506535440953,5.680393886849237,-29.25,20.028561635262548,25.006732671002027,9.792999060928084
40,98.0,-45.0,28.556161849199412,14.672624104401807,5.738855410726128,-29.25,20.028561635262548,25.295603955988714,9.893786728091847
40,98.0,7.0,31.964312726649094,17.50805933984886,6.906411999043221,4.55,16.301799490591037,30.183894301899432,11.906654286350513
40,98.0,7.0,32.7016784082012,17.770238739404185,6.999491372304855,4.55,16.67785598818261,30.635891586732814,12.067123125853572
40,98.0,7.0,33.17467702721521,17.973294487196448,7.097850926650619,4.55,16.919085283879756,30.985959695926674,12.236694997545667
40,98.0,7.0,33.78023576875544,18.308512811193616,7.221521344707625,4.55,17.227920242065274,31.563876086497793,12.449902798275946
40,98.0,11.0,29.94503040566731,18.48514035476103,7.32559460207452,7.15,15.271965506890329,31.868381971608013,12.62932509397647
40,98.0,15.0,26.495454489928175,18.71881367615662,7.444421184210579,9.75,13.51268178986337,32.27123477769401,12.834182121579039
40,98.0,26.0,33.26204619888022,19.067755735055943,7.566673110122673,16.900000000000002,16.963643561428913,32.87281088723645,13.044944441851488
40,99.0,29.0,12.757405428119945,10.774577855329749,3.1180070269678826,18.85,,18.575372222588488,5.3754441144926295
40,99.0,29.0,13.85705189907609,10.840557192549472,3.139387223576947,18.85,,18.689120599955288,5.412303573446657
40,99.0,29.0,15.069675747185261,10.929356778939882,3.161029873461437,18.85,,18.842211086892355,5.449615501847517
40,99.0,29.0,15.70084269421351,11.085731051324217,3.1829112094330334,18.85,,19.11180033248295,5.487338925062549
40,99.0,29.0,16.193424058600712,11.19930420157339,3.205055023569811,18.85,,19.307600443512523,5.525514860634353
40,99.0,29.0,17.674934064334085,11.293177239692621,3.2275007681086083,18.85,,19.46943756123008,5.56421132421924
40,99.0,29.0,18.782112360433764,11.388617861425761,3.2502358859440044,18.85,,19.633977193098012,5.603406667367463
40,100.0,29.0,14.451312902901016,13.544106150897255,3.7979882158612064,18.85,11.531759054337607,23.35003900414687,6.54773168414472
40,100.0,29.0,22.611292263407073,13.667645646614886,3.8284478530725385,18.85,11.531759054337607,23.563021094764064,6.600244098697056
40,100.0,29.0,15.556231651457631,13.896942854655316,3.8593052071710288,18.85,11.531759054337607,23.958329481425764,6.653442177162853
40,100.0,29.0,14.012960679547264,13.976664305312077,3.8937966638037933,18.85,11.531759054337607,24.095769262358022,6.7129054483977395
40,100.0,29.0,14.603455770800426,14.169019769624652,3.9223559642256376,18.85,11.531759054337607,24.4273900828329,6.762141682325
40,100.0,29.0,14.765390011386435,14.320277780182456,3.963064500552546,18.85,11.531759054337607,24.688158893034554,6.832323198952588
40,100.0,29.0,15.33780872229511,14.409211670553486,4.0085487914309965,18.85,11.531759054337607,24.841480920034208,6.910738116427037
40,101.0,-21.0,-12.42901785186181,-12.273603446388659,3.772906245539086,-13.65,12.29117038808483,-21.159692341574047,6.504490367309384
40,101.0,-18.0,-12.219633112871533,-12.372505225069204,3.8043934444273377,-11.700000000000001,12.29117038808483,-21.330199008019306,6.55877429819273
40,101.0,-13.0,-11.674328972479582,-12.47211288372865,3.8363814347959266,-8.450000000000001,12.29117038808483,-21.501922611548192,6.613921593588178
40,101.0,-13.0,-11.40694917988408,-12.639865077865643,3.8688882061222776,-8.450000000000001,12.29117038808483,-21.79112739424037,6.669963267354806
40,101.0,-14.0,-12.059958419828588,-12.67768540175429,3.901927858185201,-9.1,12.29117038808483,-21.856329632624398,6.726923627511286
40,101.0,-14.0,24.10033409428398,-13.081390485433966,3.935512619044994,-9.1,12.29117038808483,-22.552317196888158,6.78482375523357
40,101.0,-14.0,39.436636451550385,-13.264736856089588,3.969639839374211,-9.1,12.29117038808483,-22.86840633989845,6.843659083081139
40,102.0,-45.0,-4.5183419036067765,8.321537301862845,2.442013430515794,-29.25,-12.619211500386362,14.346330308411545,4.210031154209229
40,102.0,-45.0,-3.1121501493087544,8.372564989270975,2.4553938089282346,-29.25,-12.619211500386362,14.43430204150316,4.233098926592276
40,102.0,-45.0,0.9851627287744091,8.42464102260741,2.468906227947859,-29.25,-12.619211500386362,14.524081122975176,4.256394336982109
40,102.0,-45.0,4.886648153125647,8.41127932219812,2.4825769677605405,-29.25,-12.619211500386362,14.501045551469558,4.279962692419172
40,102.0,-45.0,-24.743551961541886,8.398053304986771,2.4964143399173953,-29.25,-12.619211500386362,14.478243897797192,4.303818322017588
40,102.0,-45.0,-25.321996132565392,8.363770970650988,2.5104214297949,-29.25,-12.91421802760835,14.419141153402302,4.327966544966408
40,102.0,-45.0,-23.811112008772227,8.5036624629502,2.5245697378669467,-29.25,-12.143667124473836,14.660314086126144,4.352358228082616
40,102.0,29.0,20.67260047146111,12.42434634167877,3.466118341400123,18.85,10.543026240445165,21.4195730930542,5.975588020573813
40,102.0,29.0,20.872193837764787,12.407114787528561,3.4919232724343567,18.85,10.644818857260042,21.38986589369924,6.0200757216768315
40,102.0,29.0,27.578530945568538,12.741707246137418,3.5180283724937764,18.85,14.065050782239954,21.96670329234091,6.06508091417927
40,102.0,29.0,27.847417103192754,12.773370751355891,3.544493957889843,18.85,14.202182722628304,22.021291175337556,6.110707583402089
40,102.0,29.0,28.000313153606516,12.762196515059001,3.5713780987338284,18.85,14.280159708339324,22.00202679196172,6.15705584221712
40,102.0,27.0,28.598340070003214,12.950060610029553,3.598584791995135,17.55,14.58515343570164,22.32590449169095,6.203960181399613
40,102.0,26.0,18.648045872878843,12.94301330381782,3.6262095365501983,16.900000000000002,14.58515343570164,22.31375493578192,6.251585241012542
40,103.0,30.0,-49.07925559156134,16.058411767829252,6.316225997688604,19.5,-25.030420351696286,27.68470188773763,10.889173620015153
40,103.0,34.0,4.322514449874859,16.143358564456342,6.395498485827781,22.1,-25.030420351696286,27.831150165122732,11.025839389567093
40,103.0,34.0,6.684494814887503,16.361633221414284,6.47650142660052,22.1,-25.030420351696286,28.207455673718226,11.165488459459297
40,103.0,37.0,9.910375523863639,16.563188912470487,6.559444851015388,24.05,-25.030420351696286,28.55493768509912,11.308482923150528
40,103.0,38.0,12.419226479175213,16.68306470910984,6.644390885117771,24.7,-25.030420351696286,28.761603558505364,11.454929885943038
40,103.0,38.0,11.617087101388716,16.981592626264305,6.731289676194961,24.7,-25.030420351696286,29.27626568767966,11.60474340176011
40,103.0,38.0,16.81329326791366,17.26483668147681,6.820255420966092,24.7,-25.030420351696286,29.764578438866025,11.758120345745542
40,104.0,-16.0,36.813301754057065,-19.044991787815217,6.1624581334277915,-10.4,-19.832274740196876,-32.83356584219344,10.624077822029513
40,104.0,-15.0,25.55548271201498,-19.287402826263097,6.240906262406017,-9.75,-19.832274740196876,-33.251482472477576,10.759322396387972
40,104.0,-15.0,21.745885554414876,-19.60167665165249,6.321105666323338,-9.75,-19.832274740196876,-33.79329054744889,10.897586168741435
40,104.0,-26.0,23.543732216176732,-19.79111556776851,6.403200767453803,-16.900000000000002,-19.832274740196876,-34.11988323883291,11.039118123090358
40,104.0,-33.0,22.23771373628772,-20.05324257982151,6.487122780223341,-21.45,-19.832274740196876,-34.57179020761228,11.183799673105039
40,104.0,-33.0,11.983886985878883,-20.2559029810982,6.573032595351379,-21.45,-19.832274740196876,-34.9211767394133,11.331908194385777
40,104.0,-33.0,-38.886813216072305,-20.57510018495192,6.660856583515076,-21.45,-19.832274740196876,-35.471472718857115,11.48331674997999
40,105.0,45.0,14.244187711453797,10.987584917035049,3.0683068524174706,29.25,,18.942596396968423,5.289761013567719
40,105.0,45.0,14.909247871627962,11.075436117875585,3.0889028087583354,29.25,,19.09405186721751,5.325268442299369
40,105.0,45.0,15.181899941823936,11.31790398190878,3.109708316120159,29.25,,19.512066464810736,5.361137136991154
40,105.0,45.0,15.334042809723345,11.431370577329513,3.1307283639339953,29.25,,19.70768287531608,5.397375699422208
40,105.0,41.0,14.7789472966448,11.37159303822105,3.1520637377255722,26.650000000000002,,19.60462639789309,5.434157883838886
40,105.0,38.0,15.369442387897955,11.4438819994113,3.1737041641944774,24.7,,19.729252566985082,5.471465979071279
40,105.0,37.0,8.458239636190044,11.472733859820737,3.195649330880636,24.05,,19.77899317433095,5.509299446438217
40,106.0,29.0,21.143339542932058,13.880018924840376,3.703390143918674,18.85,10.78310316689535,23.92915262642481,6.384644608115794
40,106.0,29.0,21.45666346890312,14.01891362117273,3.7321722702841136,18.85,10.942898369140591,24.168607082901786,6.434264993969812
40,106.0,30.0,21.654750470178094,14.22671370612746,3.7612947071138008,19.5,11.043922739790828,24.52685442936374,6.484472075064193
40,106.0,29.0,21.033374895836438,14.372276526900778,3.7907777776257783,18.85,10.727021196876583,24.777804732376943,6.535300888626843
40,106.0,29.0,20.46622846252824,14.542274828199629,3.820592852799681,18.85,10.437776515889402,25.07088180381616,6.586702078226649
40,106.0,29.0,20.70950641466443,14.737764823357518,3.8620192877361452,18.85,10.561848271478858,25.40790655546836,6.658121252057114
40,106.0,30.0,21.806140155563153,14.93593164348886,3.9050686897768117,19.5,11.121131479337208,25.749546153374794,6.732338421175223
40,107.0,7.0,38.403270041857354,12.732638590347063,4.343485578204974,4.55,,21.951068929758335,7.488169136825375
40,107.0,7.0,38.272969466874194,12.810935494325802,4.380429182823733,4.55,,22.086052792217682,7.551859911188116
40,107.0,7.0,36.74325578022219,12.850433865031777,4.418012547830137,4.55,,22.154147983314783,7.6166536324591565
40,107.0,7.0,31.99820593979501,12.912052013196588,4.456201950884148,4.55,,22.260377670750916,7.68249216332427
40,107.0,15.0,32.06825191362988,12.95560046759842,4.4950785027386795,9.75,,22.335455206139677,7.7495153387214835
40,107.0,7.0,30.086628718365773,13.02085320831233,4.53460283990281,4.55,,22.447950931130457,7.817655295992444
40,107.0,15.0,23.683824163846484,13.134667386781508,4.574806957756696,9.75,,22.64416657481132,7.886967195172543
40,108.0,4.0,22.504340346368867,10.414433817724397,3.171283037970973,2.6,11.477213576648122,17.95448390175686,5.467291957461957
40,108.0,7.0,21.9545171108908,10.411862416072795,3.193714751350774,4.55,11.19680372655431,17.9500508053095,5.505964231328735
40,108.0,7.0,14.035556154977876,10.351608324912542,3.2165416532734348,4.55,11.19680372655431,17.846172752149222,5.545317810243402
40,108.0,7.0,14.596677128171242,10.415738508031087,3.2396853835325836,4.55,11.19680372655431,17.956733187845593,5.585217601210174
40,108.0,7.0,14.982306575520246,10.593671920671833,3.2654759551916963,4.55,11.19680372655431,18.26349039123824,5.6296805467504845
40,108.0,7.0,15.20223586971148,10.768996876412457,3.286795410278308,4.55,11.19680372655431,18.565750614935077,5.666435287319802
