Participant,horizontal_angle_finger_pointing_unscaled,eyegaze_horiz_angle_x,angle_center,Buidling_half_width,horizontal_angle_finger_pointing,eyegaze_horiz_angle_x_scaled_without_tablet,angle_center_scaled,Buidling_half_width_scaled
45,40.0,30.152011616832375,7.90464062198531,3.2661742233303364,22.799999999999997,17.488166737762775,13.746170041632455,5.679876974371455
45,27.0,30.890695540364405,8.166163358181798,3.2701606111308563,15.389999999999999,17.916603413411355,14.200958079878149,5.6868093027565605
45,15.0,30.872418824730623,8.248563659872898,3.2751690296891103,8.549999999999999,17.90600291834376,14.344252204518972,5.695518942629364
45,4.0,31.455750665375508,8.12886672692657,3.2797675050195982,2.28,18.244335385917793,14.136099238125308,5.703515691229082
45,9.0,27.714354669176654,13.002373254458623,4.380958175684017,5.13,16.07432570812246,22.611127089503547,7.6184862675145055
45,13.0,27.159960961618587,13.084176286627402,4.41906199296089,7.409999999999999,15.752777357738779,22.753382562445054,7.6847488057589874
45,15.0,15.733206041414277,13.15233686792846,4.454901301941589,8.549999999999999,,22.87191381332759,7.7470733640764236
45,18.0,14.5726345986691,13.296404651857499,4.488175298597895,10.26,,23.12244768958019,7.804936844261739
45,18.0,13.73038261987896,13.434956941068913,4.526299971039324,10.26,,23.36339012051884,7.871235649637386
45,18.0,12.633018152033948,13.61993715729368,4.565620950501603,10.26,,23.685070716533712,7.939614832922286
45,18.0,12.96961433162277,13.651682751604842,4.605894685042286,10.26,,23.740276305040823,8.009650857288538
45,18.0,13.068613207972431,13.792919943724831,4.646844914394928,10.26,,23.985887782137482,8.08086330613278
45,18.0,13.755513103875412,13.944474045242186,4.692702062777786,10.26,,24.249440364676165,8.16060888717057
45,18.0,14.360167779426382,14.099625982214997,4.735074462637114,10.26,,24.519249583071883,8.234294490525942
45,9.0,14.86734663826384,14.31638836490643,4.778123071719272,5.13,,24.896199366572283,8.309156021719813
45,9.0,26.694666242775217,11.544309785535505,4.443524016055892,5.13,15.482906420809625,20.075554717046245,7.727288263921196
45,7.0,26.18596432430161,11.645074358690897,4.4842936083764915,3.9899999999999998,15.187859308094934,20.25078430976347,7.798186584966718
45,9.0,11.12671217188306,11.74731504237303,4.525757344075333,5.13,,20.4285808586867,7.870292021347005
45,9.0,8.22909121411048,11.785411740058933,4.567983604587241,5.13,,20.494831015962486,7.943723488377213
45,11.0,13.890303881674555,11.935630034413874,4.6109747877228475,6.27,,20.756060629845727,8.018485155850033
45,11.0,7.536860609480984,11.995358570131367,4.659154825052898,6.27,,20.85992855345845,8.102270240766988
45,13.0,7.851372424345654,12.173880627880848,4.699288469655974,7.409999999999999,,21.170378411884798,8.172062648731737
45,11.0,8.106484913400534,12.285492711177495,4.744682938425267,6.27,,21.364471824737667,8.251003629921538
45,11.0,13.194265627954682,12.377624118881629,4.790917416450635,6.27,,21.524688342735153,8.331405387207655
45,13.0,8.870299320929018,12.493358452929378,4.838022038506418,7.409999999999999,,21.72595034964419,8.413320324962662
45,13.0,8.951021481644885,12.632140476652724,4.88598304974847,7.409999999999999,,21.96729228889909,8.496724523512588
45,13.0,8.258029347197313,12.686305310075896,4.934886473041212,7.409999999999999,,22.061484934221987,8.58176757661867
45,11.0,7.644236313829452,12.853050520605862,4.984731909614867,6.27,,22.351454855333596,8.668448790820253
45,11.0,6.98170537210484,13.009675232192926,5.035537748979646,6.27,,22.6238252287835,8.756800145475605
45,11.0,6.843106945215329,13.125697499183254,5.087305716805025,6.27,,22.82558795107968,8.846824641523938
45,11.0,7.443192441857848,13.189306470670783,5.14011941240236,6.27,,22.93620395249649,8.938667658167702
45,11.0,7.7424736603610285,13.386973852516027,5.193982762697594,6.27,,23.279947529525373,9.032336024331117
45,11.0,7.939709883242267,13.50011655404278,5.248918433383896,6.27,,23.476702687480394,9.127869155654597
45,11.0,8.127046218488537,13.59276704526234,5.304925392419766,6.27,,23.637821891711212,9.225265257417973
45,11.0,8.308290315190211,13.798493390076422,5.362106768770604,6.27,,23.995580005342898,9.324703670892081
45,13.0,8.414142959902533,13.941119009866215,5.420454953335581,7.409999999999999,,24.24360595815735,9.426171163850576
45,13.0,8.54055690970286,14.086673304178365,5.4800066428654866,7.409999999999999,,24.49672487596618,9.529731551943081
45,13.0,8.49029594170996,14.148525618708817,5.540796612143438,7.409999999999999,,24.604286050934633,9.63544530851744
45,7.0,8.625086719509103,14.366103646513023,5.602863259467372,3.9899999999999998,,24.98265424128615,9.74337920821376
45,-29.0,3.880755952906443,6.2378301916719305,1.883471045112397,-16.529999999999998,,10.847586703317488,3.2753561474504584
45,-45.0,-60.84851705358784,6.29382502258685,1.9245363235840531,-25.65,-35.29213989108094,10.944961714278532,3.346768666712668
45,-45.0,-62.451537320634166,6.4148698852511625,1.9329552211002334,-25.65,-36.221891645967816,11.155458730451773,3.361409129493306
45,-45.0,-59.62131175176116,6.4452818151539875,1.9414515159386325,-25.65,-34.580360816021475,11.208345076552785,3.3761841862172823
45,-45.0,-61.292488937525135,6.410441136153601,1.9500212850638032,-25.65,-35.54964358376458,11.147757135771112,3.391087014725954
45,-45.0,-63.8721711962517,6.449253169806383,1.9578070120692486,-25.65,-37.045859293825984,11.2152512622933,3.404626393988423
45,-45.0,-66.66584333385714,6.469270972724362,1.9665216259135265,-25.65,-38.66618913363714,11.250062221567667,3.4197811074636224
45,-45.0,-69.22686811204088,6.496376242524265,1.9762015146832628,-25.65,-40.151583504983705,11.297198285749698,3.436614434034194
45,-45.0,-70.86034957181018,6.514441677668349,1.985081371466154,-25.65,-41.0990027516499,11.328614077465259,3.452056504979642
45,-45.0,-72.21130346907393,6.567850643826538,1.9940330995134268,-25.65,-41.88255601206287,11.42149226961435,3.467623560053849
45,-45.0,-73.44802789362652,6.578983667800924,2.0030734540834514,-25.65,-42.59985617830338,11.440852598305808,3.483344736651122
45,-45.0,-73.51694634216224,6.6406875816954125,2.0112733881710674,-25.65,-42.6398288784541,11.548155704568323,3.4976044220294864
45,-45.0,-75.32405660045247,6.6000727457179025,2.021392858344984,-25.65,-43.687952828262425,11.477526504803434,3.515202180661927
45,-45.0,-77.53591995704916,6.624594830902627,2.029749984352789,-25.65,-44.97083357508851,11.520170410939668,3.5297352227895002
45,13.0,26.296386147922373,8.948529559084582,2.6428775711655974,7.409999999999999,15.251903965794975,15.561492903248089,4.595964096256974
45,20.0,16.196977700621506,9.03627696907367,2.6600452555583005,11.399999999999999,,15.714085649219113,4.625818699415885
45,25.0,8.705047350406897,9.102654488773437,2.6742513776678236,14.249999999999998,,15.829516155977007,4.650523145764346
45,25.0,0.343449947951492,9.225668865985762,2.6918163866711233,14.249999999999998,,16.04343815794924,4.681068696421084
45,26.0,-1.1674252111078485,9.288758635073103,2.7079710846897758,14.819999999999999,,16.153151266392126,4.709161716275521
45,27.0,-0.4355950559384806,9.334651692745659,2.724304501831593,15.389999999999999,,16.2329592936847,4.73756552868514
45,27.0,0.0,9.483518583203999,2.7408258812640076,15.389999999999999,,16.491838816191756,4.76629620751811
45,27.0,19.617769643411094,9.411671256849655,2.7558649247084133,15.389999999999999,11.378306393178434,16.36689631566155,4.792449104067932
45,29.0,16.27541527188315,9.463648216059475,2.774471375419469,16.529999999999998,,16.45728424772743,4.824805721854457
45,29.0,17.226566014657905,9.59720671551175,2.791568376345223,16.529999999999998,,16.689542478274934,4.854537406464344
45,30.0,19.307827007454865,9.593211132198954,2.807147141381725,17.099999999999998,11.198539664323821,16.68259415889398,4.88162887886282
45,29.0,20.777579556338196,9.603772099943479,2.8264230458018567,16.529999999999998,12.050996142676153,16.70095968180171,4.915149676649429
45,11.0,22.041719054341474,9.698461546049296,2.8441607693961073,6.27,12.784197051518055,16.865624628579727,4.945995577979831
45,-37.0,-15.729398392323901,-8.17508907151384,2.519866966638829,-21.09,,-14.216479895362568,4.382048654984924
45,-45.0,-19.70839169176193,-8.245019524323416,2.534248958979104,-25.65,-11.430867181221918,-14.33808895279842,4.407058939664662
45,11.0,21.756906902381697,7.581130699476709,2.300104827909905,6.27,12.619006003381383,13.183586286389998,3.9998822957353255
45,20.0,23.277681949075998,7.650343475724395,2.312041151324176,11.399999999999999,13.501055530464077,13.303947304284724,4.020639562152742
45,20.0,10.52662667524054,7.742252646142242,2.32409802751177,11.399999999999999,,13.463777351641358,4.041606469842968
45,20.0,9.1695805394322,7.7468010236330205,2.335053904092617,11.399999999999999,,13.471686980097823,4.060658739217061
45,18.0,11.895095758319993,8.004454834257803,2.348558730951551,10.26,,13.91974695677432,4.0841436331247465
45,18.0,7.332770618237077,8.051537129823389,2.360961324402648,10.26,,14.001623068762875,4.1057117431362045
45,18.0,7.354093453143163,8.098972065119579,2.3734952930715445,10.26,,14.08411242124295,4.127508314651415
45,20.0,7.956463539239901,8.081456578048714,2.3861583129280737,11.399999999999999,,14.053652989226714,4.149529306181921
45,20.0,10.84570766901365,8.1955364740591,2.398952291993546,11.399999999999999,,14.252037928388775,4.171778035776777
45,22.0,13.386171142109394,8.197143323602686,2.4105691981238255,12.54,,14.254832239745072,4.191979835537333
45,23.0,14.315999049978075,8.36075276425991,2.424912708714015,13.11,,14.539349057047986,4.216923200453672
45,25.0,14.948830328797781,8.411969697669807,2.4380823332117973,14.249999999999998,,14.628415304247795,4.239825177455317
45,22.0,15.971564874471522,8.31058507443483,2.4514191191796844,12.54,,14.45210744444217,4.263017848253471
45,-29.0,-16.73994846090845,26.589517847651077,7.712355735297173,-16.529999999999998,,46.239171537065225,13.411786623681785
45,-31.0,-7.2581406960658015,27.11098133057565,7.898712241163041,-17.669999999999998,,47.14599653387106,13.735860587382529
45,-30.0,-25.11906104917957,8.559459351470542,3.340698509393237,-17.099999999999998,-14.56905540852415,14.884899812207273,5.80947470783484
45,-29.0,-30.58456055349856,9.137722762960443,3.5071158015672546,-16.529999999999998,-17.739045121029164,15.890499884788213,6.098874378925455
45,-29.0,-31.525049878820273,9.171314983902512,3.5287368687881973,-16.529999999999998,-18.28452892971576,15.948916757006469,6.1364734148226745
45,-29.0,-32.545499835039784,9.169448991261959,3.550638828540301,-16.529999999999998,-18.876389904323073,15.945671795804547,6.174560922831584
