Participant,trigger_no,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
14,73.0,-0.39271504,-0.14838637,-0.19255723,93.00999999999999,225.84000000000003,9.040863361824611,3.0486222199902278,,,21.273151490373312,7.173408083637006
14,73.0,-0.38077632,-0.15536939,-0.18632478,136.69000000000005,213.51999999999998,9.100230114793149,3.067359254075374,,,21.412841460108282,7.217496324839356
14,73.0,-0.35803726,-0.16310604,-0.18562488,142.55999999999995,209.75,9.205493292658582,3.0844233302558126,,,21.660525717625646,7.257648096091928
14,74.0,-0.39927751,-0.14402808,-0.19433369,131.40999999999997,196.69000000000005,9.005967240678633,3.058035887705514,,,21.191040917316826,7.195558443771074
14,74.0,-0.39756,-0.14499247,-0.19375437,131.97000000000003,197.15999999999997,9.046193954829974,3.074220537263664,,,21.28569437571493,7.233640924181403
14,74.0,-0.39534709,-0.1494322,-0.19505119,134.25,194.79999999999995,9.133187588358465,3.0924032885072723,,,21.49039039540747,7.2764249378576125
14,75.0,-0.28027093,-0.31149164,-0.17572711,-315.83,180.11,-10.86367242557664,3.6065809880132687,-315.83,180.11,-25.562221217381836,8.486285064795224
14,75.0,-0.2749131,-0.31827441,-0.18250427,-355.4,192.97000000000003,-10.928393787508629,3.6326256497944023,-355.4,192.97000000000003,-25.714510582007804,8.54756815396623
14,75.0,-0.29556239,-0.33881873,-0.19158885,-321.21,193.63,-10.968562388148118,3.6590234013610488,-321.21,193.63,-25.809027299312525,8.609682063402547
14,75.0,-0.27582362,-0.33347341,-0.18592854,53.41999999999996,197.16999999999996,-11.624357900671228,3.8400057092259603,-321.21,193.63,-27.3521141402794,9.035533433808684
14,75.0,-0.25587448,-0.31081161,-0.18573278,54.360000000000014,199.38,-11.7563728855564,3.869387080020508,-321.21,193.63,-27.66274539971421,9.104667799288256
14,75.0,-0.25369793,-0.30018529,-0.18227173,17.33000000000004,220.74,-11.752006239792024,3.8991888447732532,-321.21,193.63,-27.652470682230636,9.174791351751464
14,76.0,-0.33413872,-0.34589717,-0.19966884,-314.07,192.76999999999998,-9.698988571474757,3.119413940347061,-314.07,192.76999999999998,-22.821720108680104,7.339981001636636
14,76.0,-0.34259418,-0.34940889,-0.20004994,-308.69,192.02999999999997,-9.81734334985105,3.139022845035186,-308.69,192.02999999999997,-23.100208902199522,7.386120754367793
