Participant,trigger_no,fzd_hands0_state,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
27,25.0,1,-0.35073081,-0.22833653,-0.59600967,305.15999999999997,386.43,9.204957643729035,1.6968446678371323,,,20.453415884365914,3.7703888519341078
27,25.0,1,-0.35314021,-0.23062305,-0.59681135,-89.58999999999997,330.51,9.169585643123616,1.6980554578075928,,,20.374819299020675,3.7730792272484717
27,25.0,1,-0.34894291,-0.22825043,-0.59635842,90.13999999999999,189.39,9.425658460542097,1.699573603947742,,,20.94381309932454,3.776452547971882
27,25.0,1,-0.34695911,-0.22850342,-0.5989179,247.28999999999996,136.79000000000002,9.344816743036326,1.7009638047771118,,,20.764182803026713,3.7795415742147433
27,25.0,1,-0.34891444,-0.22995618,-0.59841102,339.54999999999995,220.57,9.389386172687622,1.7026828544624557,339.54999999999995,220.57,20.863216075711897,3.7833613026155763
27,25.0,1,-0.35314041,-0.23001184,-0.59673375,290.44000000000005,260.0,9.367150709927952,1.7045739802464817,290.44000000000005,260.0,20.81380887745991,3.787563384107683
27,25.0,1,-0.34772286,-0.23033988,-0.59571511,261.30999999999995,251.44,9.431777468298908,1.706808874632927,261.30999999999995,251.44,20.95740953456017,3.7925293194343634
27,25.0,1,-0.3441101,-0.22780259,-0.59663963,191.15999999999997,253.07,9.306925153550969,1.708728942912308,,,20.679987691190252,3.796795711151148
27,25.0,1,-0.35285568,-0.21994431,-0.59624642,319.13,219.64999999999998,9.67447692802433,1.7109612912427474,319.13,219.64999999999998,21.49668773407006,3.8017559891413857
27,25.0,1,-0.34604535,-0.22368321,-0.5979622,230.61,110.05000000000001,9.622203722099798,1.713303091546455,,,21.38053667050575,3.806959469416224
27,25.0,1,-0.3412295,-0.22215457,-0.59642118,279.40999999999997,254.17000000000002,9.64806642064353,1.7155098085167548,279.40999999999997,254.17000000000002,21.438003586669925,3.811862794524229
27,25.0,1,-0.35505262,-0.22124782,-0.59666276,240.91999999999996,62.85000000000002,9.91209538970957,1.7210413184965363,,,22.024675955934665,3.824153809699304
27,25.0,1,-0.40151361,-0.36439028,-0.56880718,724.94,224.10000000000002,10.681554608129163,1.781935295183498,724.94,224.10000000000002,23.734414339263,3.9594602258977307
27,25.0,1,-0.41099814,-0.36116403,-0.5716874,756.6099999999999,232.8,10.703158427214333,1.7866290116278094,756.6099999999999,232.8,23.78241802527025,3.9698896638369927
27,25.0,1,-0.4019962,-0.360973,-0.56631845,712.4300000000001,240.98000000000002,10.72548392418658,1.7914183670525867,712.4300000000001,240.98000000000002,23.83202527954258,3.9805316115908482
27,25.0,1,-0.40216646,-0.35831866,-0.56464571,704.28,220.20999999999998,10.739744603941457,1.7963098102366502,704.28,220.20999999999998,23.863712509957917,3.991400398345837
27,25.0,1,-0.40231723,-0.35876441,-0.56444246,362.64,221.64999999999998,10.732085212771596,1.8012995705326178,362.64,221.64999999999998,23.846693342778487,4.002487645723477
27,25.0,1,-0.40058571,-0.35965499,-0.56189328,22.439999999999998,171.42000000000002,10.72590167277129,1.8063951982682305,,,23.832953516897806,4.013810130552008
27,25.0,1,-0.40052298,-0.35712188,-0.56156147,140.74,215.95,10.751274315925023,1.8116005429016697,,,23.8893315299854,4.02537640632751
27,25.0,1,-0.39679173,-0.36150783,-0.57207191,208.14999999999998,198.83999999999997,10.833201415229377,1.8223540553163433,,,24.071373544639677,4.049270710912914
27,25.0,1,-0.40264487,-0.35994086,-0.56504178,217.37,200.06,10.947131822156958,1.8279099750044976,,,24.324526908832762,4.061615964459994
27,25.0,1,-0.38633192,-0.35663253,-0.58687776,213.66999999999996,207.69,11.090565898606126,1.8394048052724745,,,24.64323742670281,4.087157477315438
27,25.0,1,-0.38000563,-0.01874578,-0.31308568,272.1,44.19999999999999,15.854805239714894,2.633904595050936,272.1,44.19999999999999,35.22937724264649,5.852536010203181
27,25.0,1,-0.3885107,-0.01331589,-0.26909414,334.77,306.42999999999995,15.936510820321658,2.6487238892975684,,,35.41092704275472,5.885464482019197
27,25.0,1,-0.3891165,-0.01232943,-0.24780057,365.6,311.34000000000003,16.11124351380107,2.663706149448103,,,35.79918308766598,5.918755064073684
27,25.0,1,-0.38799936,-0.01239096,-0.23840217,401.83000000000004,325.02,16.17905463938893,2.6788369179888694,,,35.949859408722205,5.952375631771268
27,25.0,1,-0.38736042,-0.01000467,-0.23623246,397.23,71.44999999999999,16.290219972612316,2.6941316190260993,397.23,71.44999999999999,36.196868779144566,5.986360457475994
27,25.0,1,-0.38965571,-0.00411125,-0.23907523,439.32000000000005,58.829999999999984,16.38130428141566,2.7095876902847946,439.32000000000005,58.829999999999984,36.39925811330559,6.020703847812815
27,25.0,1,-0.38592792,-0.00354765,-0.24188191,426.04999999999995,42.91,16.494670381118905,2.725212360999973,426.04999999999995,42.91,36.6511575868462,6.0554218661419394
27,25.0,1,-0.38352981,-0.00091963,-0.24181208,447.05999999999995,33.69,16.632697210557325,2.7409904727720527,447.05999999999995,33.69,36.95785320185838,6.0904808304995015
